Native American,Column1,M/F,Contract,Prime,Districts
ADANTA INC,-4142.0,0,6,5,"7, 10, 9"
DISABLED AMERICAN VETERAN,33.0,1,3,2,"10, 5, 6"
FINE GRADE EQUIPMENT,-4142.0,0,2,2,6
FORCE TRAFFIC CONTROL,-4142.0,1,3,2,"10, 9"
GLOBAL TRANSLOADING,43.0,0,1,1,7
GR SUNDBERG INC,-4142.0,1,5,3,"4, 1"
KRC SAFETY COMPANY,-4142.0,1,22,10,"3, 5, 4, 6, 9, 7, 8"
RAPER ELCETRICAL ,33.0,1,4,3,"3, 10, 5"
S.T. RHOADES,-4142.0,1,6,5,"1, 2"
SAMS EQUIPMENT ,43.0,1,1,1,1
SPIRIT ROAD OILS,NaN,0,3,2,"5, 4"
TRINITY VALLEY CONSULTING ENGINEERS,NaN,1,1,1,2
