Native American,Column1,M/F,Contract,Prime,Districts
KRC SAFETY COMPANY,-4142.0,1,22,10,3
SPIRIT ROAD OILS,NaN,0,3,2,5
FINE GRADE EQUIPMENT,-4142.0,0,2,2,6
RAPER ELCETRICAL ,33.0,1,4,3,3
DISABLED AMERICAN VETERAN,33.0,1,3,2,10
SAMS EQUIPMENT ,43.0,1,1,1,1
KRC SAFETY COMPANY,-4142.0,1,22,10,5
KRC SAFETY COMPANY,-4142.0,1,22,10,4
ADANTA INC,-4142.0,0,6,5,7
ADANTA INC,-4142.0,0,6,5,10
S.T. RHOADES,-4142.0,1,6,5,1
ADANTA INC,-4142.0,0,6,5,9
KRC SAFETY COMPANY,-4142.0,1,22,10,6
DISABLED AMERICAN VETERAN,33.0,1,3,2,5
KRC SAFETY COMPANY,-4142.0,1,22,10,9
RAPER ELCETRICAL ,33.0,1,4,3,10
FORCE TRAFFIC CONTROL,-4142.0,1,3,2,10
SPIRIT ROAD OILS,NaN,0,3,2,4
TRINITY VALLEY CONSULTING ENGINEERS,NaN,1,1,1,2
GR SUNDBERG INC,-4142.0,1,5,3,4
GLOBAL TRANSLOADING,43.0,0,1,1,7
KRC SAFETY COMPANY,-4142.0,1,22,10,7
KRC SAFETY COMPANY,-4142.0,1,22,10,8
S.T. RHOADES,-4142.0,1,6,5,2
RAPER ELCETRICAL ,33.0,1,4,3,5
FORCE TRAFFIC CONTROL,-4142.0,1,3,2,9
DISABLED AMERICAN VETERAN,33.0,1,3,2,6
GR SUNDBERG INC,-4142.0,1,5,3,1
