ALL,PHONE,OCCUPATION
7982,5542,"Music, Musician, Dance"
8009,5345,Photography
8059,5916,"Manager, Plant Manager"
8211,6082,Interior Designer
8591,5924,Researcher
8633,5419,Baker
8920,6392,Editor
9084,6430,"Electronic, Electrical, Engineer"
9418,7050,Geologist
9510,7209,Chemist
9686,6471,Auto Mechanic
10357,7257,Optometrist
11059,7836,Legal Secretary
11134,8352,"Librarian, Archivist"
13462,7804,Bartender
14630,9320,"Investigator, Detective"
15261,10327,Press Operator
15769,11233,Auditor
15845,10532,"Gardener, Landscaper"
17335,11441,"Legal, Assistant, Paralegal"
17946,12555,Designer
18373,10954,Medical Secretary
18926,13286,Medical Technician
19140,12301,Banker
19469,13285,Optician
20277,13228,Medical
20412,14738,Scientist
21043,13480,"Bus Driver, Driver"
22811,16295,Surveyor
23787,14861,"Shipping, Custom, Import, Export"
24768,19548,Professor
25097,16565,"Technician, X-ray"
25571,18518,Computer Programmer
26537,19398,Firefighter
30459,18751,Medical Assistant
31859,20925,Trooper
32839,19800,"Housekeeper, Maid"
34120,24042,Dietician
39659,24155,Chiropractor
41444,26616,Welder
42126,30048,"Manager, Sales Manager"
43859,29058,"Teller, Bank Teller"
44258,30328,"Lab, Technician"
47372,30070,Veterinarian
56651,38777,Machinist
58078,44084,Pastor
58578,40627,Bookkeeper
67465,40366,Dental Assistant
70247,40371,Nurse
75359,44031,Cashier
88626,61034,Appraiser
90047,58143,"Truck Driver, Driver"
98805,70981,Architect
107519,70946,Plumber
109197,75587,Dental Hygienist
111699,70445,Psychologist
115610,77503,Technician
150399,95307,Army Credit Union Trades
168562,116581,Dentist
187077,136257,Navy Credit Union Trades
193890,95904,Security
240457,157024,Mechanic
269477,175711,Pilot
271048,179330,"Social Worker, Case Worker"
278878,187396,Physical
297600,196855,Construction
323188,221279,"Pharmacist, Pharmacy"
358047,270323,Teacher
362136,266498,"Attorney, Legal, Lawyer"
442504,233724,"Nurses Aide, Orderly"
492778,310678,"Nurse, LPN"
518782,381961,Engineer
602945,419233,Manager
627895,423018,"Physician, Medical Doctor"
631103,502191,Farmer
933489,655004,Clerk
1069332,635772,Cosmetologist
1119009,729472,"Agent, Insurance"
1448054,921666,"Real Estate, Realtor"
1461924,885050,"Trader, Stock, Broker"
2409498,1423065,Laborer
3139173,2032183,Nurse (Registered)
