PHONE,EMAIL,OCCUPATION
5419,2312,Baker
5542,2268,Dance
5916,2195,"Plant Manager, Manager"
5924,2262,Researcher
6082,2056,Interior Designer
6392,2459,Editor
6430,2625,"Electrical, Engineer, Electronic"
6471,2683,Auto Mechanic
7209,2866,Chemist
7257,2526,Optometrist
7836,3313,Legal Secretary
8352,2797,"Librarian, Archivist"
9320,4151,Investigator
10532,3931,Gardener
10954,5112,Medical Secretary
11233,4810,Auditor
11441,4940,"Assistant, Legal"
12301,5936,Banker
12555,4956,Designer
13228,5909,"Medical, Paramedic"
13285,5429,Optician
13286,5590,Medical Technician
13480,6142,"Driver, Bus Driver"
14738,5729,Scientist
14861,6568,"Export, Shipping, Custom, Import"
16295,5607,Surveyor
16565,7141,"X-ray, Technician"
18518,8043,Computer Programmer
18751,8111,Medical Assistant
19398,7934,Firefighter
19548,6184,Professor
20925,8686,Trooper
24042,8306,Dietician
29058,12065,Teller
30048,12519,"Sales Manager, Manager"
30070,10301,Veterinarian
30328,13282,"Technician, Lab"
38777,15235,Machinist
40366,17832,Dental Assistant
40371,19606,Nurse
40627,16169,Bookkeeper
44031,22157,Cashier
44331,18165,Counselor
46799,19134,Therapist
58143,22641,"Driver, Truck Driver"
61034,25336,Appraiser
75587,27502,Dental Hygienist
77503,34553,Technician
95307,49473,Army Credit Union Trades
95904,58247,Security
116581,43142,Dentist
130533,50056,Electrician
136257,54752,Navy Credit Union Trades
157024,65002,Mechanic
175711,65344,Pilot
187396,70644,Therapists
196855,74119,Construction
221279,89315,Pharmacist
233724,132211,Nurses Aide
266498,91464,Legal
310678,145568,"Nurse, LPN"
381961,135264,Engineer
419233,206784,Manager
423018,155423,"Physician, Medical Doctor"
635772,276644,Cosmetologist
729472,325327,"Agent, Insurance"
885050,536957,"Stock, Broker, Trader"
921666,407162,"Realtor, Real Estate"
1423065,716736,Laborer
