Type of sport,Specific sport,Sex,Standard,Days later,Sampling rationale
Team,"Basketballaa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",F,International amateur,6.0,Self-reported excellent performance
Team,Netball 1,F,University,2.0,Self-reported excellent performance
Team,Netball 2,F,Regional,2.0,Awarded player of the match
Team,Rugby Union 1,M,Club,5.0,Awarded player of the match
Net/Wall,"Badminton 1aa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",M,Professional,1.0,Reached final of national championships
Net/Wall,Squash,F,Professional,7.0,Won international tournament
Net/Wall,Tennis,F,Professional,9.0,Qualified for Wimbledon championships
Net/Wall,Wheelchair Tennis,F,Professional,3.0,Won major international tournament
Endurance,Marathon 1,F,Recreational,1.0,Ran personal best in marathon
Endurance,Marathon 2,F,Recreational,3.0,Ran personal best in marathon
Endurance,Middle-Distance,F,Recreational,0.0,Ran personal best in 5-km race
Endurance,Half-Ironman 1,M,Professional,9.0,Won national half-ironman event
Endurance,"Half-Ironman 2aa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",M,International amateur,2.0,Finished fourth in national half-ironman event
Endurance,Cycling,F,Sponsored,3.0,Completed 300-km event—personal best for distance cycled
Outdoors/Adventure,Climbing 1,M,Professional,4.0,Self-reported excellent performance
Outdoors/Adventure,Climbing 2,M,Recreational,5.0,Self-reported excellent performance
Outdoors/Adventure,"Mountaineering 2aa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",M,Experienced,6.0,Self-reported excellent performance while climbing highest peak in UK
Sprinting,"200-m Sprinteraa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",M,National amateur,1.0,Won national university championships
Sprinting,110-m Hurdles,M,International amateur,3.0,Won national university championships
Sprinting,400-m Hurdles,M,International professional,6.0,Ran national record in Diamond League
Sprinting,Jockey,F,Amateur,6.0,Finished second in international race
Sprinting,Rugby Union 2,M,Professional,,New Zealand All Black with over 100 caps; World Cup winner
Sprinting,Badminton 2,M,Professional,,Olympic athlete and Commonwealth Games medalist
Sprinting,Polar Exploring,M,Sponsored,,World-record holder for polar expeditions
Sprinting,110 m Swimmer,M,International amateur,,Gold medalist at Commonwealth Games
Sprinting,Mountaineering 1,F,Experienced,,"Climbed five 8,000-m mountains including Everest"
