Type of sport,Specific sport,Age,Sex,Standard,Days later,Sampling rationale
Endurance,Marathon 1,23,F,Recreational,1.0,Ran personal best in marathon
Sprinting,Jockey,32,F,Amateur,6.0,Finished second in international race
Endurance,Half-Ironman 1,36,M,Professional,9.0,Won national half-ironman event
Sprinting,Rugby Union 2,37,M,Professional,,New Zealand All Black with over 100 caps; World Cup winner
Sprinting,Mountaineering 1,48,F,Experienced,,"Climbed five 8,000-m mountains including Everest"
Sprinting,"200-m Sprinteraa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",22,M,National amateur,1.0,Won national university championships
Net/Wall,"Badminton 1aa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",22,M,Professional,1.0,Reached final of national championships
Team,Netball 1,20,F,University,2.0,Self-reported excellent performance
Endurance,Cycling,29,F,Sponsored,3.0,Completed 300-km event—personal best for distance cycled
Net/Wall,Tennis,20,F,Professional,9.0,Qualified for Wimbledon championships
Outdoors/Adventure,Climbing 1,33,M,Professional,4.0,Self-reported excellent performance
Endurance,Marathon 2,41,F,Recreational,3.0,Ran personal best in marathon
Sprinting,Polar Exploring,37,M,Sponsored,,World-record holder for polar expeditions
Sprinting,400-m Hurdles,22,M,International professional,6.0,Ran national record in Diamond League
Sprinting,Badminton 2,28,M,Professional,,Olympic athlete and Commonwealth Games medalist
Team,Rugby Union 1,26,M,Club,5.0,Awarded player of the match
Sprinting,110 m Swimmer,21,M,International amateur,,Gold medalist at Commonwealth Games
Endurance,Middle-Distance,26,F,Recreational,0.0,Ran personal best in 5-km race
Team,Netball 2,25,F,Regional,2.0,Awarded player of the match
Sprinting,110-m Hurdles,21,M,International amateur,3.0,Won national university championships
