Type of sport,Specific sport,Age,Sex,Days later,Sampling rationale
Endurance,"Half-Ironman 2aa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",35,M,2.0,Finished fourth in national half-ironman event
Team,Netball 2,25,F,2.0,Awarded player of the match
Endurance,Half-Ironman 1,36,M,9.0,Won national half-ironman event
Sprinting,Badminton 2,28,M,,Olympic athlete and Commonwealth Games medalist
Sprinting,110-m Hurdles,21,M,3.0,Won national university championships
Net/Wall,Wheelchair Tennis,23,F,3.0,Won major international tournament
Endurance,Cycling,29,F,3.0,Completed 300-km event—personal best for distance cycled
Sprinting,Jockey,32,F,6.0,Finished second in international race
Outdoors/Adventure,"Mountaineering 2aa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",24,M,6.0,Self-reported excellent performance while climbing highest peak in UK
Team,Rugby Union 1,26,M,5.0,Awarded player of the match
Endurance,Marathon 1,23,F,1.0,Ran personal best in marathon
Endurance,Marathon 2,41,F,3.0,Ran personal best in marathon
Sprinting,"200-m Sprinteraa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",22,M,1.0,Won national university championships
Sprinting,110 m Swimmer,21,M,,Gold medalist at Commonwealth Games
Net/Wall,Squash,23,F,7.0,Won international tournament
Endurance,Middle-Distance,26,F,0.0,Ran personal best in 5-km race
Net/Wall,"Badminton 1aa Athletes who also participated in follow-up interviews. Note. activities (e.g., mountaineering, exploring) are difficult to classify one's standard.View all notes",22,M,1.0,Reached final of national championships
