Subpart,Material group,CAS number,Mass(mg),Mass(%) of subpart,Mass(%) of total product
Post-plating,Tin solder,7440-31-5,0.20995,99.9762,3.79186
Lead Frame,Iron-nickel alloy,7440-48-4,0.00821,0.42985,0.14828
,Pure metal layer,,1.90998,100.0,34.495709999999995
Post-plating,Tin solder,7440-69-9,1e-05,0.00476,0.00018
,,7439-92-1,2e-05,0.00952,0.00036
Mould Compound,Pigment,1333-86-4,0.01011,0.3,0.18259
Wire,Pure metal,,0.00688,100.0,0.12426
Lead Frame,Iron-nickel alloy,7440-47-3,0.00172,0.09005,0.03106
,,7439-89-6,0.8528100000000001,44.650209999999994,15.40241
Post-plating,Tin solder,,0.21,100.0,3.79276
Wire,Pure metal,7440-50-8,0.00688,100.0,0.12426
,,,5.53686,100.0,100.0
Mould Compound,Polymer,9003-35-4,0.23926999999999998,7.1,4.3214
,,,3.37,100.0,60.86484
Lead Frame,Pure metal layer,7440-50-8,0.32183,16.84991,5.8125
Mould Compound,Polymer,29690-82-2,0.58975,17.5,10.65134
Lead Frame,Iron-nickel alloy,7440-44-0,0.0007599999999999999,0.03979,0.013730000000000001
Post-plating,Tin solder,7440-50-8,1e-05,0.00476,0.00018
Lead Frame,Iron-nickel alloy,7723-14-0,0.00037999999999999997,0.0199,0.00686
,,7429-90-5,0.00172,0.09005,0.03106
Die,Doped silicon,7440-21-3,0.04,100.0,0.72243
Mould Compound,Filler,60676-86-0,2.53087,75.1,45.709509999999995
Lead Frame,Iron-nickel alloy,7440-02-0,0.65971,34.54015,11.91488
,,7704-34-9,0.00037999999999999997,0.0199,0.00686
,Pure metal layer,7440-22-4,0.04431,2.31992,0.80027
Die,Doped silicon,,0.04,100.0,0.72243
Lead Frame,Iron-nickel alloy,7440-21-3,0.0049700000000000005,0.26021,0.08976
,,7439-96-5,0.01318,0.69006,0.23804
Post-plating,Tin solder,7440-36-0,1e-05,0.00476,0.00018
