Subpart,Material group,Substances,CAS number,Mass(mg),Mass(%) of total product
Post-plating,Tin solder,subTotal,,0.21,3.79276
Wire,Pure metal,subTotal,,0.00688,0.12426
Lead Frame,Iron-nickel alloy,Sulphur (S),7704-34-9,0.00037999999999999997,0.00686
Mould Compound,Polymer,Epichlorohydrin/o-Cresol/Formaldehyde polymer 1,29690-82-2,0.58975,10.65134
Lead Frame,Pure metal layer,Copper (Cu),7440-50-8,0.32183,5.8125
Mould Compound,Polymer,Phenol Formaldehyde resin 1,9003-35-4,0.23926999999999998,4.3214
Lead Frame,Iron-nickel alloy,Aluminium (Al),7429-90-5,0.00172,0.03106
,Pure metal layer,subTotal,,1.90998,34.495709999999995
,Iron-nickel alloy,Cobalt (Co),7440-48-4,0.00821,0.14828
Post-plating,Tin solder,Lead (Pb),7439-92-1,2e-05,0.00036
Lead Frame,Iron-nickel alloy,Silicon (Si),7440-21-3,0.0049700000000000005,0.08976
,,Manganese (Mn),7439-96-5,0.01318,0.23804
,Pure metal layer,Silver (Ag),7440-22-4,0.04431,0.80027
Post-plating,Tin solder,Antimony (Sb),7440-36-0,1e-05,0.00018
Die,Doped silicon,subTotal,,0.04,0.72243
Lead Frame,Iron-nickel alloy,Phosphorous (P),7723-14-0,0.00037999999999999997,0.00686
Post-plating,Tin solder,Bismuth (Bi),7440-69-9,1e-05,0.00018
Lead Frame,Iron-nickel alloy,Chromium (Cr),7440-47-3,0.00172,0.03106
Mould Compound,Filler,Silica fused,60676-86-0,2.53087,45.709509999999995
,Pigment,Carbon black,1333-86-4,0.01011,0.18259
Wire,Pure metal,total,,5.53686,100.0
Post-plating,Tin solder,Tin (Sn),7440-31-5,0.20995,3.79186
Lead Frame,Iron-nickel alloy,Carbon (C),7440-44-0,0.0007599999999999999,0.013730000000000001
Die,Doped silicon,Silicon (Si),7440-21-3,0.04,0.72243
Lead Frame,Iron-nickel alloy,Iron (Fe),7439-89-6,0.8528100000000001,15.40241
Mould Compound,Polymer,subTotal,,3.37,60.86484
Lead Frame,Iron-nickel alloy,Nickel (Ni),7440-02-0,0.65971,11.91488
Post-plating,Tin solder,Copper (Cu),7440-50-8,1e-05,0.00018
Wire,Pure metal,Copper (Cu),7440-50-8,0.00688,0.12426
