Day,Local Time,Dir,Speed/ Gust,Temp/ Feels Like,Pressure,Cloud Amount,Precip Amount,Weather
Wed 19 Jul,07:00,W,5 / 8 mph,80 / 78°F,1017 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Thu 13 Jul,19:00,ENE,5 / 6 mph,89 / 94°F,1011 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 73% Most Significant Cloud Type: medium 18%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,04:00,E,6 / 14 mph,71 / 71°F,1011 mb,Low level cloud: 0% Mid level cloud: 28% High level cloud: 0% Most Significant Cloud Type: medium 27%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,04:00,NNW,6 / 12 mph,68 / 68°F,1012 mb,Low level cloud: 0% Mid level cloud: 4% High level cloud: 0% Most Significant Cloud Type: medium 4%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,04:00,SW,5 / 11 mph,68 / 68°F,1017 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 0% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,07:00,ENE,16 / 18 mph,79 / 79°F,1019 mb,Low level cloud: 0% Mid level cloud: 27% High level cloud: 1% Most Significant Cloud Type: medium 26%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,07:00,ENE,9 / 11 mph,84 / 83°F,1021 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,01:00,E,15 / 24 mph,76 / 78°F,1017 mb,Low level cloud: 0% Mid level cloud: 11% High level cloud: 4% Most Significant Cloud Type: medium 10%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,10:00,NE,11 / 13 mph,87 / 88°F,1012 mb,Low level cloud: 0% Mid level cloud: 20% High level cloud: 17% Most Significant Cloud Type: medium 21%,Expect 0.01 In of precipitation over the past 3 hours. 0.01 In,
Wed 19 Jul,22:00,SSE,6 / 13 mph,76 / 78°F,1016 mb,Low level cloud: 0% Mid level cloud: 5% High level cloud: 3% Most Significant Cloud Type: medium 4%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
