Existing Industry Rank,NAICS Title,Occupation Rank,SOC Title,SOC Code,Minimum Education Level,Work Experience,On-the-Job Training,2014 Average Hourly  Wage,Projected Annual Growth Rate (2012-2022)
4.0,NAICS 441 Motor vehicle and parts dealers,4,First-Line Supervisors of Retail Sales Workers,41-1011,1,2,0,18.89,0.012805
2.0,NAICS 611 Educational services,5,Training and Development Specialists,13-1151,2,2,0,24.69,0.026462
2.0,NAICS 611 Educational services,4,Computer Systems Analysts,15-1121,2,0,0,33.08,0.036923000000000004
1.0,NAICS 621 Ambulatory health care services,3,Physical Therapists,29-1123,Doctoral or professional degree,0,0,41.03,0.036735000000000004
1.0,NAICS 621 Ambulatory health care services,5,Registered Nurses,29-1141,Associate's degree,0,0,34.84,0.030680000000000002
3.0,"NAICS 424 Merchant wholesalers, nondurable goods",1,Sales Managers,Nov-22,2,2,0,62.84,0.024390000000000002
1.0,NAICS 621 Ambulatory health care services,1,Physician assistants,29-1071,0,0,0,60.02,0.04918
2.0,NAICS 611 Educational services,3,Instructional Coordinators,25-9031,0,1,0,23.22,0.023834
1.0,NAICS 621 Ambulatory health care services,4,Medical Secretaries,43-6013,1,0,1,16.27,0.040372000000000005
4.0,NAICS 441 Motor vehicle and parts dealers,3,1,1,1,0,1,17.69,0.014286000000000002
1.0,NAICS 621 Ambulatory health care services,2,Nurse practitioners,29-1171,0,0,0,51.34,0.038174
3.0,"NAICS 424 Merchant wholesalers, nondurable goods",4,1,1,1,0,1,17.69,0.023528999999999998
4.0,NAICS 441 Motor vehicle and parts dealers,4,Parts Salespersons,41-2022,Less than high school,0,1,14.0,0.013696000000000002
3.0,"NAICS 424 Merchant wholesalers, nondurable goods",5,Financial Managers,Nov-31,2,1,0,44.76,0.023809999999999998
