PROJECT,Item,Quantity Required,Price
SECRET MESSAGES,Lemon juice,1 cup,2.48
SMELLS LIKE,Small containers with lids,6,4.93
GLURCH,Mixing bowl,2,6.47
INVENTIONS: BAG OF JUNK,"Recycled Items: egg cartons, bubble wrap, empty boxes, containers",3,
OOBLECK,craft sticks,100,2.7
SECRET MESSAGES,q-tips,5,2.68
CUBIST COLLAGE,Old magazines,6,
INVENTIONS: BAG OF JUNK,"Building materials: Blocks, wood scraps, tiles, plastic wrap, popsicle sticks, wire, clay","(donation, around site)",
OOBLECK,Lego pieces,(from site),
EXPLORING MY LIGHT SENSORS,Small mirrors,5,
OOBLECK,bubble wrap,1 foot,5.44
RING AND PIN,Metal washers,5,
GLURCH,Large spoon,1,
EXPLORE WATER,Plastic cups,2 per bin,2.58
OOBLECK,aluminum foil,1 small roll,2.0
SAND PAPER ART,60 grit sandpaper,1 sheet per project,
INVENTIONS: BAG OF JUNK,Screwdriver,2,3.69
EXPLORE WATER,Turkey baster,4,3.75
EXPLORE WATER,Sponge,4,2.98
CUBIST COLLAGE,Cardstock,1 piece per child,
GLURCH,Borax powder,2 teaspoons,3.97
OOBLECK,egg carton,1 (donation),
SECRET MESSAGES,Magnifier,1,10.48
OOBLECK,packing foam pieces,1 gallon ziploc full,
INVENTIONS: BAG OF JUNK,"Small Stuff: bottle caps, toothpicks, screws, thread",6,
SCRATCH & SNIFF NAMETAGS,Jello-O,3 colors per 10 kids,5.29
ENVIROLOPES,Glue sticks,1,1.42
EXPLORE WATER,Soda bottles,3,
SMELLS LIKE,Cotton balls,1,2.9
OOBLECK,Large mixing bowl,1,6.47
OOBLECK,sponges,2,2.98
GLURCH,White glue,2 cups,2.0
EXPLORE WATER,Empty bin,2,
EXPLORING MY LIGHT SENSORS,Paper,5,
SCRATCH & SNIFF NAMETAGS,Lined Name Cards,5,3.36
OOBLECK,paper clips,7,2.0
OOBLECK,Small drinking cups,5,2.0
SAND PAPER ART,crayons,2 boxes,
RING AND PIN,String,1,
EXPLORE WATER,Empty soap dispensers ,(donation) 1 per bin,
SAND PAPER ART,wax paper ,9,
EXPLORE WATER,Funnel,4,0.89
INVENTIONS: BAG OF JUNK,"Sticky, attaching stuff: magnets, clay, glue, tape, paper clipes, sponges",6,
CUBIST COLLAGE,Scissors,0,2.51
INVENTIONS: BAG OF JUNK,"Watering Devices: Turkey baster, water pumps, straws, hoses","(donation, save from EXPLORE WATER)",
ENVIROLOPES,Letter-sized envelopes ,0,2.5
CUBIST COLLAGE,Glue/tape,8,2.0
GLURCH,Paper bowls,5,2.17
SAND PAPER ART,iron,1 per site,
INVENTIONS: BAG OF JUNK,Hammers,2,5.95
INVENTIONS: BAG OF JUNK,Pliers,2,4.86
RING AND PIN,Recycled items (see preparation),3,
RING AND PIN,Popscicle sticks,7,
EXPLORING MY LIGHT SENSORS,"Colored pencils, markers, or crayons",8,
OOBLECK,bar of soap,1,2.0
SECRET MESSAGES,Crayons,1,2.94
ENVIROLOPES,Yarn (optional),0,2.97
SAND PAPER ART,copy paper,9,
INVENTIONS: BAG OF JUNK,"Things that roll: marbles, dowels, toy wheels, paper towel and toiler paper rolls, balls, beads)",6,
SMELLS LIKE,Smelly stuff,(petty cash),
EXPLORE WATER,Pipettes or eyedroppers,3 per bin,4.94
