PROJECT,Item,Price
ENVIROLOPES,Letter-sized envelopes ,2.5
,Yarn (optional),2.97
,Glue sticks,1.42
EXPLORE WATER,Empty bin,
,Plastic cups,2.58
,Soda bottles,
,Funnel,0.89
,Sponge,2.98
,Pipettes or eyedroppers,4.94
,Empty soap dispensers ,
,Turkey baster,3.75
SCRATCH & SNIFF NAMETAGS,Lined Name Cards,3.36
,Jello-O,5.29
,Small cups,2.97
SMELLS LIKE,Small containers with lids,4.93
,Cotton balls,2.9
,Smelly stuff,
INVENTIONS: BAG OF JUNK,"Broken clocks, equipment",
,Screwdriver,3.69
,Pliers,4.86
,Hammers,5.95
,"Recycled Items: egg cartons, bubble wrap, empty boxes, containers",
,"Watering Devices: Turkey baster, water pumps, straws, hoses",
,"Small Stuff: bottle caps, toothpicks, screws, thread",
,"Things that roll: marbles, dowels, toy wheels, paper towel and toiler paper rolls, balls, beads)",
,"Sticky, attaching stuff: magnets, clay, glue, tape, paper clipes, sponges",
,"Building materials: Blocks, wood scraps, tiles, plastic wrap, popsicle sticks, wire, clay",
OOBLECK,Large mixing bowl,6.47
,egg carton,
,bar of soap,2.0
,paper clips,2.0
,aluminum foil,2.0
,drinking straws,2.0
,craft sticks,2.7
,sponges,2.98
,packing foam pieces,
,bubble wrap,5.44
,Lego pieces,
,Small drinking cups,2.0
GLURCH,Borax powder,3.97
,White glue,2.0
,Mixing bowl,6.47
,Large spoon,
,Paper bowls,2.17
,Food coloring,3.65
SECRET MESSAGES,Mirror,4.94
,Magnifier,10.48
,Children's dictionary,11.39
,Crayons,2.94
,Lemon juice,2.48
,q-tips,2.68
CUBIST COLLAGE,Old magazines,
,Scissors,2.51
,Glue/tape,2.0
,Cardstock,
EXPLORING MY LIGHT SENSORS,Small mirrors,
,"Colored pencils, markers, or crayons",
,Paper,
RING AND PIN,Recycled items (see preparation),
,Popscicle sticks,
,Metal washers,
,String,
SAND PAPER ART,60 grit sandpaper,
,crayons,
,copy paper,
,iron,
,wax paper ,
