PROJECT,Item,Quantity Required,Price
ENVIROLOPES,Letter-sized envelopes ,0,2.5
RING AND PIN,Popscicle sticks,7,
GLURCH,Borax powder,2 teaspoons,3.97
SAND PAPER ART,60 grit sandpaper,1 sheet per project,
EXPLORE WATER,Sponge,4,2.98
OOBLECK,packing foam pieces,1 gallon ziploc full,
RING AND PIN,Metal washers,5,
INVENTIONS: BAG OF JUNK,"Watering Devices: Turkey baster, water pumps, straws, hoses","(donation, save from EXPLORE WATER)",
,"Things that roll: marbles, dowels, toy wheels, paper towel and toiler paper rolls, balls, beads)",6,
,"Building materials: Blocks, wood scraps, tiles, plastic wrap, popsicle sticks, wire, clay","(donation, around site)",
ENVIROLOPES,Yarn (optional),0,2.97
SECRET MESSAGES,Mirror,1,4.94
EXPLORING MY LIGHT SENSORS,Paper,5,
SMELLS LIKE,Cotton balls,1,2.9
INVENTIONS: BAG OF JUNK,"Small Stuff: bottle caps, toothpicks, screws, thread",6,
,"Broken clocks, equipment","(Petty cash, donation)",
EXPLORE WATER,Empty soap dispensers ,(donation) 1 per bin,
GLURCH,Paper bowls,5,2.17
INVENTIONS: BAG OF JUNK,Screwdriver,2,3.69
GLURCH,Large spoon,1,
SMELLS LIKE,Small containers with lids,6,4.93
SAND PAPER ART,copy paper,9,
GLURCH,Food coloring,1,3.65
EXPLORING MY LIGHT SENSORS,"Colored pencils, markers, or crayons",8,
INVENTIONS: BAG OF JUNK,Pliers,2,4.86
RING AND PIN,Recycled items (see preparation),3,
SECRET MESSAGES,q-tips,5,2.68
OOBLECK,sponges,2,2.98
SECRET MESSAGES,Lemon juice,1 cup,2.48
CUBIST COLLAGE,Old magazines,6,
OOBLECK,Lego pieces,(from site),
CUBIST COLLAGE,Glue/tape,8,2.0
SECRET MESSAGES,Children's dictionary,1,11.39
RING AND PIN,String,1,
EXPLORE WATER,Plastic cups,2 per bin,2.58
,Turkey baster,4,3.75
