Category,$,%
Income,4034.8737869999995,0.545454545
Income,3362.3948229999996,0.454545455
Expense - Needs,1650.0,0.22305530399999998
Expense - Needs,155.0,0.02095368
Expense - Needs,1500.0,0.20277754899999997
Expense - Needs,250.0,0.033796257999999996
Expense - Needs,275.0,0.037175884
Expense - Needs,225.0,0.030416632000000002
Expense - Needs,100.0,0.013518503000000001
Expense - Needs,395.0,0.053398087999999996
Expense - Needs,225.0,0.030416632000000002
Expense - Needs,60.0,0.008111102
Expense - Needs,250.0,0.033796257999999996
Expense - Needs,100.0,0.013518503000000001
Expense - Wants,125.0,0.016898128999999998
Expense - Wants,100.0,0.013518503000000001
Expense - Wants,100.0,0.013518503000000001
Savings,295.89074439999996,0.04
Savings,917.0,0.123964675
Savings,0.0,0.0
Savings,225.0,0.030416632000000002
Savings,449.37786600000004,0.060749162
Savings,1887.26861,0.25513046899999997
