Category,Description,$
Savings,529 Plan,225.0
Expense - Needs,Auto Insurance,100.0
Expense - Wants,Entertainment,125.0
Savings,Investment (Rental Prop),449.37786600000004
Expense - Needs,Groceries,250.0
Expense - Wants,Cable/Internet,100.0
Expense - Needs,Life Insurance,60.0
Savings,0,1887.26861
Expense - Needs,Donation,250.0
,Health Insurance,395.0
Income,Person 1,4034.8737869999995
Savings,Emergency Fund,0.0
,Roth IRA,917.0
Income,Person 2,3362.3948229999996
Expense - Needs,Car Payment,275.0
,Clothes,100.0
Savings,401(k),295.89074439999996
