Month,Day,Time,Specifics
November,8th,1,1
April,7,1,1
May,9th,1,Social for all: Softball
February,10,0.770833333,Liturgy for All; Ash Wednesday
January,31st,1,1
September,3,1,1
April,5,0,0
January,24th,1,1
December,1,0,0
September,1,0,0
March,12,1,Stations of the Cross
,9,0,0
November,22nd,1,No School/CYO: Thanksgiving
February,9,0,0
January,3rd,0,0
October,7,1,Pray outside the Abortion Facility in Fargo
April,8,1,1
November,1st,0.770833333,Liturgy for All; All Saints Day Mass
December,2,1,2
March,11,1,1
April,6,1,1
February,11,1,1
May,4,2:30pm,High School Graduation at VCHS
March,10,1,2
February,12,1,1
January,10th,1,1
October,5,0,0
May,0,,Last Day of School
December,3,1,3
May,16th,1,Baccalaureate
December,30th,TBA,Youth Event: Skiing
January,17th,1,Service for All (7-12): Spaghetti Supper
November,29th,1,1
October,8,1,1
December,4,1,3
September,4,1,Safe Environment for All (7-12): Circle of Grace
,2,1,1
May,2nd,0,0
November,15th,1,1
October,6,1,1
August,0,6pm,First Day of School/Parent Information session for grades 7-12
