Month,Time,Specifics
August,6pm,First Day of School/Parent Information session for grades 7-12
September,0,0
,1,1
,1,1
,1,Safe Environment for All (7-12): Circle of Grace
October,0,0
,1,1
,1,Pray outside the Abortion Facility in Fargo
,1,1
November,0.770833333,Liturgy for All; All Saints Day Mass
,1,1
,1,1
,1,No School/CYO: Thanksgiving
,1,1
December,0,0
,1,2
,1,3
,1,3
,TBA,Youth Event: Skiing
January,0,0
,1,1
,1,Service for All (7-12): Spaghetti Supper
,1,1
,1,1
February,0,0
,0.770833333,Liturgy for All; Ash Wednesday
,1,1
,1,1
March,0,0
,1,2
,1,1
,1,Stations of the Cross
April,0,0
,1,1
,1,1
,1,1
May,0,0
,1,Social for all: Softball
,1,Baccalaureate
,,Last Day of School
,2:30pm,High School Graduation at VCHS
