Month,Day,Time,Specifics
October,5,0,0
April,7,1,1
March,9,0,0
February,11,1,1
November,29th,1,1
December,4,1,3
February,10,0.770833333,Liturgy for All; Ash Wednesday
April,6,1,1
October,6,1,1
November,8th,1,1
November,15th,1,1
April,8,1,1
August,0,6pm,First Day of School/Parent Information session for grades 7-12
January,10th,1,1
September,2,1,1
September,1,0,0
January,24th,1,1
November,22nd,1,No School/CYO: Thanksgiving
January,31st,1,1
December,30th,TBA,Youth Event: Skiing
September,3,1,1
October,7,1,Pray outside the Abortion Facility in Fargo
November,1st,0.770833333,Liturgy for All; All Saints Day Mass
September,4,1,Safe Environment for All (7-12): Circle of Grace
April,5,0,0
March,12,1,Stations of the Cross
February,12,1,1
December,1,0,0
February,9,0,0
January,17th,1,Service for All (7-12): Spaghetti Supper
May,0,,Last Day of School
May,16th,1,Baccalaureate
December,2,1,2
January,3rd,0,0
May,9th,1,Social for all: Softball
May,4,2:30pm,High School Graduation at VCHS
March,10,1,2
October,8,1,1
May,2nd,0,0
March,11,1,1
December,3,1,3
