Month,Day,Specifics
December,3,3
April,5,0
March,12,Stations of the Cross
February,9,0
February,12,1
February,11,1
December,1,0
November,22nd,No School/CYO: Thanksgiving
May,9th,Social for all: Softball
March,11,1
April,6,1
May,16th,Baccalaureate
May,4,High School Graduation at VCHS
November,15th,1
January,31st,1
January,10th,1
March,10,2
October,8,1
April,7,1
February,10,Liturgy for All; Ash Wednesday
September,3,1
November,8th,1
October,6,1
September,2,1
May,0,Last Day of School
March,9,0
November,1st,Liturgy for All; All Saints Day Mass
December,4,3
December,30th,Youth Event: Skiing
May,2nd,0
January,17th,Service for All (7-12): Spaghetti Supper
January,24th,1
September,4,Safe Environment for All (7-12): Circle of Grace
August,0,First Day of School/Parent Information session for grades 7-12
January,3rd,0
October,7,Pray outside the Abortion Facility in Fargo
December,2,2
April,8,1
November,29th,1
September,1,0
October,5,0
