Month,Day,Specifics
August,0,First Day of School/Parent Information session for grades 7-12
September,1,0
,2,1
,3,1
,4,Safe Environment for All (7-12): Circle of Grace
October,5,0
,6,1
,7,Pray outside the Abortion Facility in Fargo
,8,1
November,1st,Liturgy for All; All Saints Day Mass
,8th,1
,15th,1
,22nd,No School/CYO: Thanksgiving
,29th,1
December,1,0
,2,2
,3,3
,4,3
,30th,Youth Event: Skiing
January,3rd,0
,10th,1
,17th,Service for All (7-12): Spaghetti Supper
,24th,1
,31st,1
February,9,0
,10,Liturgy for All; Ash Wednesday
,11,1
,12,1
March,9,0
,10,2
,11,1
,12,Stations of the Cross
April,5,0
,6,1
,7,1
,8,1
May,2nd,0
,9th,Social for all: Softball
,16th,Baccalaureate
,0,Last Day of School
,4,High School Graduation at VCHS
