                       ,"Overn. og
servering",Industri,"Bygge- og
anleggsv.","Faglig og
tekn. tj."
2013.0,103.9,93.9,104.6,111.2
,106.1,94.4,105.2,112.5
2014.0,107.7,94.8,106.8,115.1
2011.0,101.6,92.1,97.6,107.4
2009.0,97.9,98.0,94.9,106.6
2008.0,102.0,101.2,98.0,106.4
2012.0,103.2,92.5,101.3,110.2
2008.0,100.0,100.0,100.0,100.0
2013.0,103.9,93.9,105.1,111.6
2012.0,103.6,93.2,103.1,109.9
2010.0,98.8,91.3,94.4,105.8
2011.0,101.4,91.6,96.0,106.2
2009.0,98.0,95.7,94.5,105.8
2008.0,100.6,100.7,101.7,103.4
2011.0,102.2,92.5,99.0,108.1
2010.0,98.2,93.6,92.6,105.4
2013.0,107.5,94.8,105.8,113.3
