Department,MEN
Color,YELLOW
Wholesale (EUR),700
M.S.R.P. (EUR),2200
Style Number,23456
Collection Type,SEASON
Color Code,B675
Season,26R
Department,MEN
Color,BLACK
Wholesale (EUR),487
M.S.R.P. (EUR),1290
Style Number,12353
Collection Type,SEASON
Color Code,B672
Season,23R
Department,MEN
Color,BLACK
Wholesale (EUR),600
M.S.R.P. (EUR),2000
Style Number,12354
Collection Type,SEASON
Color Code,B674
Season,25R
Department,MEN
Color,WHITE
Wholesale (EUR),500
M.S.R.P. (EUR),1300
Style Number,12354
Collection Type,SEASON
Color Code,B673
Season,24R
