profit,0,1,2,3,4
-51893525,Kirsten Dunst,Jim Sturgess,Timothy Spall,James Kidnie,Heidi Hawkins
-32893443,Nicolas Cage,Malin Ã…kerman,Josh Lucas,Sami Gayle,Danny Huston
-20193217,Chris Hemsworth,Josh Hutcherson,Isabel Lucas,Adrianne Palicki,Jeffrey Dean Morgan
-17955723,Eddie Murphy,Allison Janney,Cliff Curtis,Clark Duke,Kerry Washington
-16215682,Kristen Stewart,Garrett Hedlund,Sam Riley,Kirsten Dunst,Tom Sturridge
-15581387,Tom Cruise,Alec Baldwin,Diego Boneta,Julianne Hough,Bryan Cranston
-15363831,Bruce Willis,Josh Duhamel,Rosario Dawson,Vincent D'Onofrio,50 Cent
-15280785,Drew Barrymore,John Krasinski,Kristen Bell,Vinessa Shaw,Dermot Mulroney
-14646768,Tyler Perry,Rachel Nichols,Jean Reno,Matthew Fox,Giancarlo Esposito
-14436444,Robert Pattinson,Sarah Gadon,Juliette Binoche,Paul Giamatti,Samantha Morton
-11941633,Adam Sandler,Susan Sarandon,Eva Amurri Martino,Leighton Meester,Andy Samberg
-10840066,Paul Rudd,Jennifer Aniston,Justin Theroux,Malin Ã…kerman,Lauren Ambrose
-8962258,Karl Urban,Olivia Thirlby,Lena Headey,Wood Harris,Jason Cope
-7634623,Bryan Cranston,David Oyelowo,Cuba Gooding Jr.,Daniela Ruah,Terrence Howard
-7372508,Ashley Greene,Sebastian Stan,Tom Felton,Julianna Guill,Luke Pasqualino
-6861212,Matt Damon,John Krasinski,Frances McDormand,Rosemarie DeWitt,Lucas Black
-6571952,Jason Bateman,Hope Davis,Frank Grillo,Paula Patton,Michael Nyqvist
-3916401,Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez,Jamie Chung,WolÃ© Parks
-3741940,Joaquin Phoenix,Philip Seymour Hoffman,Amy Adams,Laura Dern,Jesse Plemons
-3565222,Chris Pine,Elizabeth Banks,Olivia Wilde,Michelle Pfeiffer,Mark Duplass
-3136417,Henry Cavill,VerÃ³nica Echegui,Sigourney Weaver,Bruce Willis,Caroline Goodall
-3106279,Katherine Heigl,John Leguizamo,Debbie Reynolds,Sherri Shepherd,Patrick Fischler
-2582638,Victoria Justice,Jackson Nicoll,Chelsea Handler,Josh Pence,Jane Levy
-2377154,Eva Longoria,Andy GarcÃ­a,Oscar Isaac,Peter O'Toole,RubÃ©n Blades
2000000,Blake Lively,Taylor Kitsch,Aaron Taylor-Johnson,Benicio del Toro,Salma Hayek
3493728,Danielle Panabaker,Matt Bush,Katrina Bowden,Jean-Luc Bilodeau,David Koechner
3657751,John Cusack,Luke Evans,Alice Eve,Brendan Gleeson,Kevin McNally
4221189,Sam Worthington,Elizabeth Banks,Jamie Bell,Ed Harris,Edward Burns
4422261,Colin Farrell,Sam Rockwell,Christopher Walken,Woody Harrelson,Abbie Cornish
7231461,Bradley Cooper,Zoe Saldana,Jeremy Irons,Dennis Quaid,Olivia Wilde
10346186,Jason Statham,Chris Sarandon,James Hong,Catherine Chan,Robert John Burke
10372606,Gina Carano,Ewan McGregor,Michael Fassbender,Bill Paxton,Channing Tatum
10637469,Whitney Houston,Cee Lo Green,Derek Luke,Mike Epps,Carmen Ejogo
12204030,Guy Pearce,Maggie Grace,Joseph Gilgun,Lennie James,Peter Stormare
17042000,Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,Paul Dano,Noah Segan
20400000,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,Nina Dobrev
20726956,Katy Perry,Russell Brand,Shannon Woodward,Rachael Markarian,Mia Moretti
22930465,Brad Pitt,Scoot McNairy,Ben Mendelsohn,James Gandolfini,Ray Liotta
23485056,Richard Gere,Susan Sarandon,Tim Roth,Brit Marling,Monica Raymund
23909751,Emily Blunt,Alison Brie,Jason Segel,Rhys Ifans,Chris Pratt
24139100,Taylor Kitsch,Lynn Collins,Mark Strong,Willem Dafoe,CiarÃ¡n Hinds
24819301,Sean Hayes,Will Sasso,Chris Diamantopoulos,SofÃ­a Vergara,Jane Lynch
27676580,Shia LaBeouf,Tom Hardy,Guy Pearce,Jessica Chastain,Mia Wasikowska
28482868,Tom Hanks,Halle Berry,Jim Broadbent,Hugo Weaving,Jim Sturgess
32302796,Adelaide Clemens,Kit Harington,Sean Bean,Carrie-Anne Moss,Radha Mitchell
36486080,Kristen Connolly,Chris Hemsworth,Anna Hutchison,Fran Kranz,Jesse Williams
38100000,Mark Wahlberg,Kate Beckinsale,Ben Foster,Giovanni Ribisi,J.K. Simmons
