FIPS,RegionName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1003,Baldwin,132858.33333333337,140291.66666666663,142491.66666666663,149216.66666666663,161133.33333333337,186825.0,212016.66666666663,204541.66666666663,186441.66666666663,166716.66666666663,158266.66666666663,153358.33333333337,165308.33333333337,166608.33333333337,182308.33333333328
1007,Bibb,87316.66666666669,90625.0,93341.66666666669,92400.0,74808.33333333331,84891.66666666669,95716.66666666669,99491.66666666669,103666.66666666669,98658.33333333331,92225.0,84900.0,83850.0,91466.66666666669,90400.0
1027,Clay,73216.66666666669,75450.0,76241.66666666669,77141.66666666669,80125.0,85000.0,94058.33333333331,71016.66666666669,76091.66666666669,85008.33333333331,84866.66666666669,83875.0,72875.0,80866.66666666669,73608.33333333331
1029,Cleburne,73766.66666666669,84341.66666666669,82883.33333333331,84800.0,85008.33333333331,97458.33333333331,103525.0,99700.0,98366.66666666669,87066.66666666669,85500.0,81325.0,91041.66666666669,94358.33333333331,89266.66666666669
1031,Coffee,,,,,,,,,,141940.0,142008.33333333337,127016.66666666669,122075.0,113300.0,110308.33333333331
1043,Cullman,,,,,,,,,,112240.0,114375.0,116791.66666666669,134958.33333333337,132175.0,111275.0
1051,Elmore,,,,,,,,,,171300.0,155925.0,122241.66666666669,120675.0,114641.66666666669,120966.66666666669
1073,Jefferson,86725.0,89216.66666666669,93083.33333333331,97208.33333333331,101500.0,107133.33333333331,113975.0,115525.0,114825.0,111725.0,107000.0,99566.66666666669,97758.33333333331,100000.0,101375.0
1089,Madison,,,,,,140285.7142857143,147125.0,155308.33333333337,153225.0,152883.33333333337,151325.0,148091.66666666663,146125.0,146000.0,147041.66666666663
1095,Marshall,79183.33333333331,80566.66666666669,82833.33333333331,82933.33333333331,85475.0,92733.33333333331,99133.33333333331,102358.33333333331,98858.33333333331,100275.0,102000.0,103533.33333333331,101466.66666666669,102900.0,106066.66666666669
1097,Mobile,77166.66666666669,79575.0,80900.0,83450.0,86700.0,94550.0,107875.0,114100.0,116616.66666666669,114041.66666666669,108266.66666666669,100250.0,96075.0,95808.33333333331,97225.0
1101,Montgomery,84233.33333333331,84233.33333333331,85825.0,87650.0,89483.33333333331,95350.0,102475.0,104650.0,106116.66666666669,109475.0,110908.33333333331,101975.0,96658.33333333331,95166.66666666669,93116.66666666669
1115,Saint Clair,120016.66666666669,119150.0,124491.66666666669,125741.66666666669,129475.0,136733.33333333337,143050.0,144625.0,143083.33333333337,140958.33333333337,136941.66666666663,135408.33333333337,134925.0,137216.66666666663,145841.66666666663
1117,Shelby,142491.66666666663,145508.33333333337,149525.0,159625.0,163475.0,170416.66666666663,180358.33333333328,182691.66666666663,181641.66666666663,180383.33333333328,178291.66666666663,168483.33333333337,165250.0,167316.66666666663,176891.66666666663
1125,Tuscaloosa,112200.0,114358.33333333331,116116.66666666669,112633.33333333331,127433.33333333331,134416.66666666663,141900.0,144708.33333333337,141091.66666666663,138350.0,135216.66666666663,132566.66666666663,133958.33333333337,138383.33333333337,146766.66666666663
2020,Anchorage,178083.33333333337,186791.66666666663,198566.66666666663,210541.66666666663,226383.33333333328,255091.66666666663,288475.0,300841.66666666674,296191.66666666674,272466.66666666674,267750.0,261700.0,263950.0,274633.33333333326,280383.33333333326
2090,Fairbanks North Star,165300.0,156291.66666666663,154725.0,163116.66666666663,184516.66666666663,200133.33333333328,212616.66666666663,229375.0,242900.0,224425.0,212233.33333333328,214300.0,215466.66666666663,215658.33333333328,206775.0
2110,Juneau,207833.33333333328,203391.66666666663,200633.33333333328,212666.66666666663,241116.66666666663,280125.0,313025.0,332600.0,309291.66666666674,285458.33333333326,285083.33333333326,290808.33333333326,307966.66666666674,310508.33333333326,312908.33333333326
2130,Ketchikan Gateway,,,,,,,,,,,224700.0,220141.66666666663,225225.0,222283.33333333328,224708.33333333328
2150,Kodiak Island,,,,,,,,,,,264310.0,257291.66666666663,272733.33333333326,278716.66666666674,291333.33333333326
2170,Matanuska Susitna,171691.66666666663,166116.66666666663,161441.66666666663,165933.33333333337,179016.66666666663,202791.66666666663,223291.66666666663,247683.33333333328,254533.33333333328,255875.0,241050.0,222158.33333333328,232591.66666666663,248650.0,234491.66666666663
4003,Cochise,87958.33333333331,92583.33333333331,98350.0,107350.0,121191.66666666669,149508.33333333337,169375.0,171083.33333333337,161075.0,157708.33333333337,152641.66666666663,146133.33333333337,138966.66666666663,133225.0,129308.33333333331
4005,Coconino,161158.33333333337,172708.33333333337,182608.33333333328,200866.66666666663,230758.33333333328,292416.66666666674,347583.33333333326,338675.0,314066.66666666674,282175.0,262683.33333333326,240433.33333333328,238133.33333333328,255075.0,278325.0
4007,Gila,113741.66666666669,116350.0,122633.33333333331,127558.33333333331,121041.66666666669,147875.0,208175.0,208850.0,204550.0,176791.66666666663,162833.33333333337,145033.33333333337,138491.66666666663,149125.0,156833.33333333337
4009,Graham,82925.0,84291.66666666669,84241.66666666669,87016.66666666669,88833.33333333331,105791.66666666669,138441.66666666663,159066.66666666663,162858.33333333337,140041.66666666663,126700.0,115183.33333333331,117575.0,126883.33333333331,131566.66666666663
4011,Greenlee,53233.33333333334,49850.0,54208.33333333334,44766.66666666666,41433.333333333336,47416.66666666666,57825.0,69425.0,96100.0,104300.0,77741.66666666669,68791.66666666669,55650.0,54333.33333333334,51425.0
4012,La Paz,73175.0,69591.66666666669,71175.0,81200.0,95783.33333333331,118333.33333333331,147483.33333333337,154400.0,138891.66666666663,126800.0,107491.66666666669,106016.66666666669,106583.33333333331,101333.33333333331,113533.33333333331
4013,Maricopa,134366.66666666663,140150.0,147225.0,155875.0,172891.66666666663,240250.0,278183.33333333326,257691.66666666663,218258.33333333328,179125.0,152433.33333333337,140000.0,159558.33333333337,190508.33333333328,201908.33333333328
4015,Mohave,92525.0,101050.0,112066.66666666669,130541.66666666669,165150.0,211683.33333333328,239900.0,222525.0,190625.0,160025.0,141291.66666666663,129958.33333333331,131950.0,143350.0,156791.66666666663
4017,Navajo,102500.0,121883.33333333331,123525.0,131466.66666666663,140783.33333333337,164450.0,206266.66666666663,225291.66666666663,203683.33333333328,173950.0,153458.33333333337,137408.33333333337,131450.0,141516.66666666663,152633.33333333337
4019,Pima,117891.66666666669,123875.0,132016.66666666663,142450.0,158633.33333333337,199366.66666666663,232925.0,219941.66666666663,195583.33333333328,177133.33333333337,162183.33333333337,144141.66666666663,141408.33333333337,153625.0,164408.33333333337
4021,Pinal,116433.33333333331,115891.66666666669,119133.33333333331,129891.66666666669,143208.33333333337,197350.0,234783.33333333328,202191.66666666663,162875.0,127758.33333333331,111208.33333333331,100291.66666666669,115441.66666666669,139925.0,154358.33333333337
4023,Santa Cruz,90925.0,104000.0,107108.33333333331,108916.66666666669,116016.66666666669,133733.33333333337,159083.33333333337,169441.66666666663,156900.0,136850.0,121766.66666666669,115858.33333333331,108525.0,104816.66666666669,116416.66666666669
4025,Yavapai,140750.0,145908.33333333337,160583.33333333337,172491.66666666663,195808.33333333328,250733.33333333328,295116.66666666674,289458.33333333326,255733.33333333328,222600.0,200316.66666666663,182341.66666666663,184666.66666666663,204916.66666666663,227475.0
4027,Yuma,86633.33333333331,89050.0,93158.33333333331,97525.0,109908.33333333331,150925.0,177775.0,174200.0,155125.0,142358.33333333337,130783.33333333331,115225.0,108266.66666666669,113950.0,119500.0
5007,Benton,94650.0,99258.33333333331,103516.66666666669,109625.0,122308.33333333331,136375.0,145416.66666666663,143450.0,136991.66666666663,131450.0,127283.33333333331,120458.33333333331,120725.0,129383.33333333331,136033.33333333337
5033,Crawford,71291.66666666669,72825.0,76075.0,79758.33333333331,83125.0,84950.0,90666.66666666669,93741.66666666669,96583.33333333331,99016.66666666669,99250.0,98900.0,96233.33333333331,93316.66666666669,97791.66666666669
5045,Faulkner,84575.0,84966.66666666669,87716.66666666669,91508.33333333331,98116.66666666669,104133.33333333331,111791.66666666669,116683.33333333331,118775.0,121691.66666666669,125450.0,123750.0,121658.33333333331,125700.0,127833.33333333331
5051,Garland,88108.33333333331,91166.66666666669,95833.33333333331,101225.0,110816.66666666669,121283.33333333331,131700.0,136525.0,134450.0,131733.33333333337,131975.0,126716.66666666669,127533.33333333331,128716.66666666669,130141.66666666669
5063,Independence,59825.0,60991.66666666666,61491.66666666666,64358.33333333334,67041.66666666669,73241.66666666669,71583.33333333331,78425.0,78433.33333333331,81158.33333333331,85316.66666666669,81541.66666666669,82533.33333333331,86291.66666666669,93825.0
5085,Lonoke,85483.33333333331,87683.33333333331,91691.66666666669,93933.33333333331,99341.66666666669,105308.33333333331,110358.33333333331,114683.33333333331,114608.33333333331,116091.66666666669,116141.66666666669,118250.0,118550.0,121500.0,123050.0
5119,Pulaski,82025.0,84541.66666666669,88425.0,93500.0,99391.66666666669,106925.0,114841.66666666669,118383.33333333331,118458.33333333331,120575.0,120808.33333333331,118566.66666666669,117300.0,120141.66666666669,120333.33333333331
5125,Saline,94125.0,95916.66666666669,98275.0,103766.66666666669,109141.66666666669,116141.66666666669,121891.66666666669,123208.33333333331,123683.33333333331,128825.0,133391.66666666663,130508.33333333331,129891.66666666669,133191.66666666663,136441.66666666663
5131,Sebastian,74200.0,77875.0,81466.66666666669,85441.66666666669,87216.66666666669,90725.0,96250.0,101491.66666666669,102475.0,104158.33333333331,105458.33333333331,103741.66666666669,98808.33333333331,100100.0,104791.66666666669
6001,Alameda,333825.0,378408.33333333326,397291.66666666674,432416.66666666674,504916.66666666674,610141.6666666665,630708.3333333335,604216.6666666665,515283.33333333326,455441.66666666674,442941.66666666674,411816.66666666674,424341.66666666674,519975.0,598625.0
