token,is_ailment,is_authority,is_body_part,is_ingredient,is_treatment
abcess,True,False,False,False,False
abcesses,True,False,False,False,False
abdomen,False,False,True,False,False
abdominal,False,False,True,False,False
abnormal,True,False,False,False,False
abnormality,True,False,False,False,False
abortifacient,False,False,False,False,True
abortion,False,False,False,False,True
abortive,True,False,False,False,False
abrotanum,False,False,False,True,False
abscess,True,False,False,False,False
absentmindedness,True,False,False,False,False
absinth,False,False,False,True,False
acacia,False,False,False,True,False
accident,True,False,False,False,False
ache,True,False,False,False,False
acne,True,False,False,False,False
acorn,False,False,False,True,False
acute,True,False,False,False,False
aesculapius,False,True,False,False,False
affectis,False,True,False,False,False
afflicted,True,False,False,False,False
agaric,False,False,False,True,False
age,True,False,False,False,False
aged,True,False,False,False,False
agent,False,False,False,True,False
aid,False,False,False,False,True
ailing,True,False,False,False,False
ailment,True,False,False,False,False
air,False,False,False,True,False
al-kaḥḥalīn,False,True,False,False,False
al-kaḥḥlīn,False,True,False,False,False
al-kaḥḥāl,False,True,False,False,False
al-kaḥḥālīn,False,True,False,False,False
al-kindī,False,True,False,False,False
alchemical,False,False,False,False,True
alchemist,False,True,False,False,False
alcoholic,True,False,False,False,False
alcoholism,True,False,False,False,False
alignment,True,False,False,False,False
alimentation,True,False,False,False,False
alleviated,False,False,False,False,True
alleviating,False,False,False,False,True
allāh,False,True,False,False,False
almond,False,False,False,True,False
aloe,False,False,False,True,False
aloe-wood,False,False,False,True,False
alopecia,True,False,False,False,False
althea,False,False,False,True,False
alum,False,False,False,True,False
amber,False,False,False,True,False
ambergris,False,False,False,True,False
amenorrhoea,True,False,False,False,False
ammonia,False,False,False,True,False
ammoniac,False,False,False,True,False
amnesia,True,False,False,False,False
amomum,False,False,False,True,False
amulet,False,False,False,False,True
anachroid,False,False,True,False,False
anal,False,False,True,False,False
anaphrodisiac,False,False,False,False,True
anarcardium,False,False,False,True,False
anasarca,False,False,False,True,False
anatomical,False,False,True,False,False
anatomy,False,False,True,False,False
anchusa,False,False,False,True,False
andara,False,False,False,True,False
