Coutry Name,Indicator,var,value
Afghnistan,Overall Global Gender Gap Index,2000,0.433
Afghnistan,Global Gender Gap Political Empowerment subindex,2000,0.72
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2000,0.136
Afghnistan,Global Gender Gap Educational Attainment Subindex,2000,0.9279999999999999
Afghnistan,Global Gender Gap Health and Survival Subinex,2000,0.9990000000000001
Angola,Overall Global Gender Gap Index,2000,0.784
Angola,Global Gender Gap Political Empowerment subindex,2000,0.879
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2000,0.011000000000000001
Angola,Global Gender Gap Educational Attainment Subindex,2000,0.588
Angola,Global Gender Gap Health and Survival Subinex,2000,0.647
Albania,Overall Global Gender Gap Index,2000,0.406
Albania,Global Gender Gap Political Empowerment subindex,2000,0.361
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2000,0.9640000000000001
Albania,Global Gender Gap Educational Attainment Subindex,2000,0.376
Albania,Global Gender Gap Health and Survival Subinex,2000,0.084
Afghnistan,Overall Global Gender Gap Index,2001,0.6990000000000001
Afghnistan,Global Gender Gap Political Empowerment subindex,2001,0.978
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2001,0.231
Afghnistan,Global Gender Gap Educational Attainment Subindex,2001,0.205
Afghnistan,Global Gender Gap Health and Survival Subinex,2001,0.429
Angola,Overall Global Gender Gap Index,2001,0.17
Angola,Global Gender Gap Political Empowerment subindex,2001,0.27699999999999997
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2001,0.371
Angola,Global Gender Gap Educational Attainment Subindex,2001,0.5920000000000001
Angola,Global Gender Gap Health and Survival Subinex,2001,0.752
Albania,Overall Global Gender Gap Index,2001,0.9690000000000001
Albania,Global Gender Gap Political Empowerment subindex,2001,0.629
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2001,0.604
Albania,Global Gender Gap Educational Attainment Subindex,2001,0.7859999999999999
Albania,Global Gender Gap Health and Survival Subinex,2001,0.745
Afghnistan,Overall Global Gender Gap Index,2002,0.691
Afghnistan,Global Gender Gap Political Empowerment subindex,2002,0.6579999999999999
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2002,0.21600000000000003
Afghnistan,Global Gender Gap Educational Attainment Subindex,2002,0.154
Afghnistan,Global Gender Gap Health and Survival Subinex,2002,1.0
Angola,Overall Global Gender Gap Index,2002,0.887
Angola,Global Gender Gap Political Empowerment subindex,2002,0.501
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2002,0.261
Angola,Global Gender Gap Educational Attainment Subindex,2002,0.263
Angola,Global Gender Gap Health and Survival Subinex,2002,0.004
Albania,Overall Global Gender Gap Index,2002,0.475
Albania,Global Gender Gap Political Empowerment subindex,2002,0.96
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2002,0.033
Albania,Global Gender Gap Educational Attainment Subindex,2002,0.857
Albania,Global Gender Gap Health and Survival Subinex,2002,0.036000000000000004
Afghnistan,Overall Global Gender Gap Index,2003,0.466
Afghnistan,Global Gender Gap Political Empowerment subindex,2003,0.652
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2003,0.7659999999999999
Afghnistan,Global Gender Gap Educational Attainment Subindex,2003,0.924
Afghnistan,Global Gender Gap Health and Survival Subinex,2003,0.743
Angola,Overall Global Gender Gap Index,2003,0.594
Angola,Global Gender Gap Political Empowerment subindex,2003,0.38299999999999995
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2003,0.764
Angola,Global Gender Gap Educational Attainment Subindex,2003,0.897
Angola,Global Gender Gap Health and Survival Subinex,2003,0.067
Albania,Overall Global Gender Gap Index,2003,0.873
Albania,Global Gender Gap Political Empowerment subindex,2003,0.991
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2003,0.779
Albania,Global Gender Gap Educational Attainment Subindex,2003,0.467
Albania,Global Gender Gap Health and Survival Subinex,2003,0.9620000000000001
Afghnistan,Overall Global Gender Gap Index,2004,0.165
Afghnistan,Global Gender Gap Political Empowerment subindex,2004,1.0
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2004,0.705
Afghnistan,Global Gender Gap Educational Attainment Subindex,2004,0.49700000000000005
Afghnistan,Global Gender Gap Health and Survival Subinex,2004,0.33399999999999996
Angola,Overall Global Gender Gap Index,2004,0.386
Angola,Global Gender Gap Political Empowerment subindex,2004,0.843
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2004,0.9470000000000001
Angola,Global Gender Gap Educational Attainment Subindex,2004,0.975
Angola,Global Gender Gap Health and Survival Subinex,2004,0.18100000000000002
Albania,Overall Global Gender Gap Index,2004,0.32
Albania,Global Gender Gap Political Empowerment subindex,2004,0.33299999999999996
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2004,0.353
Albania,Global Gender Gap Educational Attainment Subindex,2004,0.298
Albania,Global Gender Gap Health and Survival Subinex,2004,0.8140000000000001
Afghnistan,Overall Global Gender Gap Index,2005,0.28
Afghnistan,Global Gender Gap Political Empowerment subindex,2005,0.34600000000000003
Afghnistan,Global Gender Gap Economic Participation and Opportunity Subindex,2005,0.513
Afghnistan,Global Gender Gap Educational Attainment Subindex,2005,0.611
Afghnistan,Global Gender Gap Health and Survival Subinex,2005,0.757
Angola,Overall Global Gender Gap Index,2005,0.34299999999999997
Angola,Global Gender Gap Political Empowerment subindex,2005,0.33
Angola,Global Gender Gap Economic Participation and Opportunity Subindex,2005,0.031
Angola,Global Gender Gap Educational Attainment Subindex,2005,0.17
Angola,Global Gender Gap Health and Survival Subinex,2005,0.26899999999999996
Albania,Overall Global Gender Gap Index,2005,0.885
Albania,Global Gender Gap Political Empowerment subindex,2005,0.47700000000000004
Albania,Global Gender Gap Economic Participation and Opportunity Subindex,2005,0.645
