Film,North America(Gross (unadjusted)),North America(Opening),Worldwide gross (unadjusted)
A Bug's Life,$162.8 million,$33.3 million,$363.3 million
Brave,$237.3 million,$66.3 million,$540.4 million
Cars,$244.1 million,$60.1 million,$462.2 million
Cars 2,$191.5 million,$66.1 million,$562.1 million
Cars 3,$141.6 million,$53.7 million,$224.8 million
Finding Dory,$486.3 million,$135.1 million,"$1,028.6 million"
Finding Nemo,$339.7 million,$70.3 million,$867.9 million
Inside Out,$356.5 million,$90.4 million,$857.6 million
Monsters University,$268.5 million,$82.4 million,$744.2 million
"Monsters, Inc.",$255.9 million,$62.6 million,$525.4 million
Ratatouille,$206.4 million,$47.0 million,$620.7 million
The Good Dinosaur,$123.1 million,$39.2 million,$332.2 million
The Incredibles,$261.4 million,$70.5 million,$633.0 million
Toy Story,$191.8 million,$29.1 million,$373.6 million
Toy Story 2,$245.9 million,$57.4 million,$497.4 million
Toy Story 3,$415.0 million,$110.3 million,"$1,067.0 million"
Up,$293.0 million,$68.1 million,$735.1 million
WALL-E,$223.8 million,$63.1 million,$533.3 million
