Unit #,1/18/2019,1/19/2019,1/24/2019,1/25/2019,1/26/2019,1/28/2019,1/29/2019,1/30/2019,10/18/2018,10/24/2018,10/26/2018,10/28/2018,10/29/2018,10/3/2018,10/30/2018,11/1/2018,11/11/2018,11/12/2018,11/19/2018,11/3/2018,11/30/2018,11/5/2018,11/6/2018,11/7/2018,11/9/2018,12/25/2018,12/7/2018,2/1/2019,2/11/2019,2/12/2019,2/15/2019,2/25/2019,2/3/2019,2/6/2019,2/7/2019,2/9/2019,7/18/2018,7/24/2018,7/25/2018,7/26/2018,7/29/2018,7/30/2018,8/1/2018,8/3/2018,8/31/2018,8/6/2018,8/7/2018,8/9/2018,9/25/2018
134B,,,,,,,,,,,,,,,,,,,,,"19,280.87",,,,,,,,,,,,,,,,,,,,,,,,"87,685.34",,,,
18,,,,,,,,,,,,,,"6,365.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,57.04,,,,,,,,,,,,,,,,,,,,,,
M-191-03,,,,,,,,,,,,,,"3,341.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-192-01,,"21,420.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE04-A-0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,288.31",
NE04-A-0803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,517.31",,,,,,,
NE04-A-0901,,,,,,,,,,,,,,,,,,,,,,,,"7,477.22",,,,,,,,,,,"3,113.13",,,,,,,,,,,,488.58,,
NE04-A-1405,,,,,,,,,,,,,,,,,,,,,,,"12,474.23",,,,,,,,,,,"4,803.82",,,,,,,,,,,,,,,
NE04-A-1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,534.38",
