Title,Distributor(s),Release date (United States),Budget (in millions),Box office gross(North America),Box office gross(Opening weekend (North America)),Box office gross(Other territories),Box office gross(Worldwide)
Ant-Man,Walt Disney Studios Motion Pictures,"July 17, 2015",$130,"$180,202,163","$57,225,526","$339,109,802","$519,311,965"
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,"May 1, 2015",$250,"$459,005,868","$191,271,109","$946,397,826","$1,405,403,694"
Big Hero 6,Walt Disney Studios Motion Pictures,"November 7, 2014",$165,"$222,527,828","$56,215,889","$435,290,784","$657,818,612"
Blade,New Line Cinema,"August 21, 1998",$45,"$70,087,718","$17,073,856","$61,095,812","$131,183,530"
Blade II,New Line Cinema,"March 22, 2002",$54,"$82,348,319","$32,528,016","$72,661,713","$155,010,032"
Blade: Trinity,New Line Cinema,"December 8, 2004",$65,"$52,411,906","$16,061,271","$76,493,460","$128,905,366"
Captain America: Civil War,Walt Disney Studios Motion Pictures,"May 6, 2016",$250,"$408,084,349","$179,139,142","$745,220,146","$1,153,304,495"
Captain America: The First Avenger,Paramount Pictures,"July 22, 2011",$140,"$176,654,505","$65,058,524","$193,915,269","$370,569,774"
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,"April 4, 2014",$170,"$259,766,572","$95,023,721","$454,497,695","$714,264,267"
Daredevil,20th Century Fox,"February 14, 2003",$78,"$102,543,518","$40,310,419","$76,636,200","$179,179,718"
Deadpool,20th Century Fox,"February 12, 2016",$58,"$363,070,709","$132,434,600","$420,042,270","$783,112,979"
Doctor Strange,Walt Disney Studios Motion Pictures,"November 4, 2016",$165,"$232,641,920","$85,058,311","$445,076,475","$677,718,395"
Elektra,20th Century Fox,"January 14, 2005",$43,"$24,409,722","$12,804,793","$32,271,844","$56,681,566"
Fantastic Four,20th Century Fox,"August 7, 2015",$120,"$56,117,548","$25,685,737","$111,860,048","$167,977,596"
Fantastic Four,20th Century Fox,"July 8, 2005",$100,"$154,696,080","$56,061,504","$175,883,639","$330,579,719"
Fantastic Four: Rise of the Silver Surfer,20th Century Fox,"June 15, 2007",$130,"$131,921,738","$58,051,684","$157,126,025","$289,047,763"
Ghost Rider,Sony Pictures,"February 16, 2007",$110,"$115,802,596","$45,388,836","$112,935,797","$228,738,393"
Ghost Rider: Spirit of Vengeance,Sony Pictures,"February 17, 2012",$57,"$51,774,002","$22,115,334","$80,789,928","$132,563,930"
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,"August 1, 2014",$170,"$333,176,600","$94,320,883","$440,152,029","$773,328,629"
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,"May 5, 2017",$200,"$386,745,538","$146,510,104","$472,730,755","$859,476,293"
Howard the Duck,Universal Pictures,"August 1, 1986",$37,"$16,295,774","$5,070,136","$21,667,000","$37,962,774"
Hulk,Universal Pictures,"June 20, 2003",$137,"$132,177,234","$62,128,420","$113,183,246","$245,360,480"
Iron Man,Paramount Pictures,"May 2, 2008",$140,"$318,412,101","$98,618,668","$266,762,121","$585,174,222"
Iron Man 2,Paramount Pictures,"May 7, 2010",$200,"$312,433,331","$128,122,480","$311,500,000","$623,933,331"
Iron Man 3,Walt Disney Studios Motion Pictures,"May 3, 2013",$200,"$409,013,994","$174,144,585","$805,797,258","$1,214,811,252"
Logan,20th Century Fox,"March 3, 2017",$97,"$226,277,068","$88,411,916","$389,941,470","$616,218,538"
Punisher: War Zone,Lionsgate Films,"December 5, 2008",$35,"$8,050,977","$4,271,451","$2,049,059","$10,100,036"
Spider Man: Homecoming,Sony Pictures,"July 7, 2017",$175,"$220,267,368","$117,027,503","$260,072,679","$480,340,047"
