Region or group,2011 estimates HDI,2013 estimates HDI,2014 estimates HDI,2015 estimates HDI
Arab states,0.6409999999999999,0.652,0.682,0.687
East Asia and the Pacific,0.6709999999999999,0.6829999999999999,0.703,0.72
Europe and Central Asia,0.7509999999999999,0.7709999999999999,0.738,0.7559999999999999
High Human Development,0.741,0.758,0.735,0.746
Latin America and the Caribbean,0.731,0.741,0.74,0.7509999999999999
Least Developed countries,0.439,0.449,0.48700000000000004,0.508
Low Human Development,0.456,0.466,0.493,0.49700000000000005
Medium Human Development,0.63,0.64,0.614,0.631
OECD,0.873,0.887,0.8740000000000001,0.887
Small Island Developing States,0.64,0.648,0.665,0.667
South Asia,0.5479999999999999,0.5579999999999999,0.588,0.621
Sub-Saharan Africa,0.46299999999999997,0.475,0.502,0.523
Very High Human Development,0.889,0.905,0.89,0.892
World,0.682,0.6940000000000001,0.7020000000000001,0.7170000000000001
