Contract Start Date,Membership Category,Membership Level,Website
Suppliers and Manufacturers,,,
42767.0,7,2.0,www.histekstil.com.tr
42491.0,7,2.0,
42370.0,4,2.0,
41609.0,7,2.0,
41883.0,4,2.0,www.kumatex.com
42614.0,7,2.0,
42036.0,7,2.0,
41730.0,7,2.0,
42705.0,12,2.0,2014
Producer Organisation,,,
Suppliers and Manufacturers,,,
41913.0,7,2.0,
41974.0,7,2.0,
42736.0,4,2.0,
42491.0,7,2.0,
42309.0,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
42217.0,6,2.0,
41214.0,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
42736.0,4,2.0,
41944.0,4,2.0,
41122.0,12,2.0,
42339.0,4,2.0,
42036.0,4,2.0,
42278.0,12,2.0,
41760.0,4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
42461.0,7,2.0,
42339.0,12,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
41487.0,4,2.0,
40878.0,7,2.0,
41153.0,4,2.0,
41214.0,4,2.0,
41974.0,4,2.0,
42278.0,7,2.0,
42186.0,7,2.0,
41640.0,7,2.0,
42156.0,7,2.0,
41640.0,4,2.0,
42736.0,4,2.0,www.zahidjee.com.pk
42491.0,7,2.0,
Associate Members,,,
Suppliers and Manufacturers,,,
42705.0,4,2.0,www.ntshtex.com
Producer Organisation,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
42736.0,12,2.0,www.vcottonexport.com
Associate Members,,,
Suppliers and Manufacturers,,,
40360.0,4,2.0,
42614.0,7,2.0,
42491.0,7,2.0,
42156.0,12,2.0,
42064.0,7,2.0,
42522.0,9,3.0,
42064.0,12,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
41944.0,4,2.0,
42064.0,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
42736.0,4,2.0,www.vtcl.co.in
41913.0,4,2.0,
42675.0,7,2.0,www.turboyarn.com.mx
42644.0,5,3.0,http://www.mundotextil.pt/
42552.0,7,2.0,
41640.0,7,2.0,
40575.0,12,2.0,
41000.0,4,2.0,
40360.0,7,2.0,
42339.0,7,2.0,
42036.0,4,2.0,
42125.0,7,2.0,
42552.0,7,2.0,
42705.0,7,2.0,www.sagarmanufacturers.com
41974.0,4,2.0,
42156.0,4,2.0,
42705.0,7,2.0,www.mittapallispinners.com
Civil Society,,,
Suppliers and Manufacturers,,,
42430.0,9,3.0,
41821.0,7,2.0,
41640.0,4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
42491.0,7,2.0,
42064.0,7,2.0,
42522.0,12,2.0,
41821.0,4,2.0,
41671.0,4,2.0,
41883.0,7,2.0,
42583.0,9,3.0,
42736.0,7,2.0,www.supersales.co.in
42705.0,12,2.0,www.cotlinkcom.pk
40787.0,7,2.0,
42675.0,7,2.0,Kyungbangvn.com
40940.0,12,2.0,
40940.0,12,2.0,
41671.0,7,2.0,
42705.0,6,3.0,www.kgdenim.com
Civil Society,,,
Suppliers and Manufacturers,,,
42036.0,9,3.0,
42522.0,7,2.0,
42036.0,7,2.0,
42644.0,7,2.0,
42036.0,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
42430.0,4,2.0,
42064.0,5,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
42217.0,7,2.0,
42339.0,7,2.0,
42644.0,7,2.0,www.AHYHFZ.com
42036.0,9,2.0,
42339.0,7,2.0,
42552.0,4,2.0,
42036.0,7,2.0,
42401.0,6,3.0,
41730.0,12,2.0,
42705.0,4,2.0,www.selcukgroup.com
42767.0,7,2.0,
41487.0,4,2.0,
41000.0,7,2.0,
41579.0,4,2.0,
