Activities,Delivery Type
2. Usually Required,
3. Project Dependent,
2. Usually Required,
3. Project Dependent,
2. Usually Required,
Stakeholder Analysis,Document
1. Approvals,
3. Project Dependent,
1. Approvals,
3. Project Dependent,
Modify SLA,Document
Implement new non-IT service,Development
New Business Processes,Document
New contract(s),Document
1. Approvals,
3. Project Dependent,
Modify non-IT service,Development
Communications to Clients,Document
2. Usually Required,
3. Project Dependent,
French Translation,Document
New database Design,Document
2. Usually Required,
3. Project Dependent,
New Application(s),Development
New database,Development
New Vendor(s) involved,Vendor Management
2. Usually Required,
Systems Design,Document
In house Design Workshops,Workshop
Issues Log,Document
3. Project Dependent,
New Operations document(s),Document
Modify online service,Development
2. Usually Required,
Risk Management Plan,Document
Project Status Reports,Document
3. Project Dependent,
Change to database design,Document
New Software,Development
2. Usually Required,
Weekly Status Meeting,Meeting
1. Approvals,
3. Project Dependent,
Change in Technology Architecture,Development
Existing vendor(s) involved,Vendor Management
2. Usually Required,
3. Project Dependent,
New SLA,Document
2. Usually Required,
3. Project Dependent,
