Y/N,Delivery Type
1. Approvals,
,Signoff
,Signoff
,Signoff
2. Usually Required,
Y,Document
Y,Workshop
Y,Document
Y,Document
Y,Document
Y,Document
Y,Document
Y,Document
Y,Meeting
Y,Document
Y,Document
Y,Document
Y,Document
Y,Document
Y,Document
Y,Document
3. Project Dependent,
,Document
,Document
,Document
,Document
,Document
,Document
,Document
,Development
,Development
,Document
,Document
,Document
,Document
,Document
,Development
,Development
,Development
,Development
,Development
,Development
,Development
,Development
,Development
,Development
,Development
,Development
,Development
,Document
,Vendor Management
