Subtitle,Y/N,Delivery Type
1. Approvals,,Signoff
1. Approvals,,Signoff
1. Approvals,,Signoff
1. Approvals,,Signoff
2. Usually Required,Y,Document
2. Usually Required,Y,Workshop
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Meeting
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Document
2. Usually Required,Y,Document
3. Project Dependent,,Document
3. Project Dependent,,Document
3. Project Dependent,,Document
3. Project Dependent,,Document
3. Project Dependent,,Document
3. Project Dependent,,Document
3. Project Dependent,,Document
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Document
3. Project Dependent,,Document
3. Project Dependent,,Document
3. Project Dependent,,Document
3. Project Dependent,,Document
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Development
3. Project Dependent,,Document
3. Project Dependent,,Vendor Management
3. Project Dependent,,Vendor Management
