Subtitle,Institution,Specific Graduate Program,Restrictions,City,State
"Richmond, The American International University in London",,Master in Art History,2,98,
"University of Colorado, Boulder",,46,,114,24
"Texas A&M University, Commerce",,Physics,,105,11
"Devry University, Sandy Campus",,25,,Sandy,15
"New York Institute of Technology, Manhattan",,School of Management Master of Business Administration,,6,0
Lutheran School of Theology at Chicago,,44,2,31,27
"University of Phoenix, St. George Learning Center, St. George",,0,,St. George,15
Northwestern Polytechnic University,,Doctoral programs,,41,9
Clarkson University,,0,,Potsdam,0
"University of Phoenix, Sarpy Student Resource Center, Omaha",,0,,135,39
Saint Louis University,,John Cook School of Business,MBA,65,34
"Indiana University-Purdue University, Fort Wayne",,Richard Doermer School of Business and Management Sciences,,Fort Wayne,3
Fordham University,,15,0,6,0
"Devry University, Daly City Center",,25,,Daly City,9
George Washington University,,Elliot School of International Affairs,"Master of Business Administration, MSIST and Ph.D. Programs in School of Business and Public Management (no subscore below 6.0)",1,2
Northeastern Illinois University,,Linguistics Department,,31,27
Capella University (online),,18,,15,17
"University of Phoenix, Nogales Learning Center, Nogales",,0,,Nogales,5
Goshen College,,MA Intercultural Leadership,2,77,3
DePaul University,,College of Liberal Arts and Sciences,,31,27
"University of Phoenix, River Road Learning Center, Tucson",,0,,110,5
Fuller Theological Seminary,,Ph.D program,,74,9
Williams College,,Center for Development Economics,,Williamstown,7
"Auburn University, Auburn",,Harrison School of Pharmacy,,5,8
"California Baptist University, San Bernardino",,17,,San Bernardino,9
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,0,,Chula Vista,9
"University of Phoenix, West Michigan Campus, Walker",,0,,Walker,4
Massachusetts Institute of Technology,,Department of Urban Studies/Planning,,85,7
"Devry University, San Antonio Campus",,25,,61,11
University of Houston,,37,2,7,11
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,0,,63,9
Rollins College,,Crummer Graduate School of Business,,Winter Park,32
"University of Phoenix, Memphis Campus, Cordova",,0,,Cordova,18
"University of Phoenix, Louisville Learning Center, Louisville",,0,,8,12
University of Houston,,College of Social Work,2,7,11
"University of Phoenix, Westshore Learning Center, Tampa",,0,,66,32
University of Pittsburgh,,School of Information Sciences,,17,16
University of New Haven,,M.S. Mechanical Engineering,,126,38
"California State University, Fullerton",,Masters in TESOL,,14,9
Virginia Polytechnic Institute and State University,,College of Natural Resources,Geospatial and Environmental Analysis Doctoral Program,146,23
Winthrop University,,39,,Rock Hill,22
Fordham University,,30,,6,0
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,0,,26,24
Rider University,,39,,Lawrenceville,13
"University of Phoenix, San Marcos Learning Center, San Marcos",,0,,San Marcos,9
University of Pennsylvania,,School of Engineering & Applied Science,2,58,16
University of Dallas,,24,(Pre-Master of Business Administration),47,11
Northeastern University,,Bouve College of Health Sciences,,11,7
Massachusetts Institute of Technology,,Department of Architecture,"7.5 for Ph.D. History, Theory/Criticism of Architecture and Art (IELTS preferred)",85,7
Massachusetts Institute of Technology,,Comparative Media Studies,5,85,7
University of Portland,,60,,59,36
Carnegie Mellon University,,Civil & Environmental Engineering,,17,16
"University of Phoenix, Austin Campus, Austin",,0,,34,11
"University of Phoenix, North Alpharetta Learning Center, Alpharetta",,0,,Alpharetta,28
"Auburn University, Auburn","Auburn University, Montgomery",Masters of Real Estate Development,,5,8
Temple University,,27,,58,16
University of South Carolina,,13,2,130,22
University of Houston,,College of Hotel Management,2,7,11
University of Puget Sound,,School of Physical Therapy,,93,29
Texas Christian University,,Neely School of Business,,106,11
Loma Linda University,,7,,81,9
"Devry University, Kansas City Campus",,25,,49,34
"University of Phoenix, Warrenville Learning Center, Warrenville",,0,,Warrenville,27
"University of Phoenix, Wyoming Campus, Cheyenne",,0,,Cheyenne,WY
