Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
Washington University in St. Louis,,,,,
Syracuse University,,,,,
"College of Staten Island, City University of New York (CUNY)",,,,,
"City University of Seattle, Victoria",,,,,
New School (The),,,,,
San Jose State University,,,,,
San Francisco Art Institute,,,,,
University of Denver,,,,,
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,,,,
Vanderbilt University,,,,,
University of Oregon,,,,,
Georgetown University,,,,,
"Devry University, Chicago O'Hare Center",,,,,
University of Delaware,,,,,
University of Virginia,,,,,
"University of Phoenix, Boston Campus, Braintree",,,,,
"University of Phoenix, St. Paul Learning Center, Woodbury",,,,,
"University of Minnesota, Twin Cities",,,,,
"Devry University, Duluth (Gwinnett) Center",,,,,
University of Oregon,,,,,
New York University,,,,,
"City University of Seattle, Business and Hotel Management School",,,,,
"University of Minnesota, Twin Cities",,,,,
Virginia Polytechnic Institute and State University,,,,,
San Francisco Art Institute,,,,,
Washington University in St. Louis,,,,,
"Baruch College, City University of New York (CUNY)",,,,,
Palo Alto University,,,,,
Virginia Polytechnic Institute and State University,,,,,
Drexel University,,,,,
"Devry University, Paramus Center",,,,,
New York University,,,,,
"University of Colorado, Boulder",,,,,
New York Medical College,,,,,
"Auburn University, Auburn",,,,,
University of Kansas,,,,,
"University of Phoenix, Oklahoma City Campus, Oklahoma City",,,,,
Georgetown University,,,,,
"University of Massachusetts, Boston",,,,,
Loma Linda University,,,,,
University of Houston,,,,,
"University of Phoenix, North Milwaukee Student Resource Center, Glendale",,,,,
"University of Phoenix, Hillsboro Learning Center, Hillsboro",,,,,
Carnegie Mellon University,,,,,
American University,,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,,,,
University of Kentucky,,,,,
"University of Phoenix, Woodlands Learning Center, Spring",,,,,
George Washington University,,,,,
"Devry University, Ft. Washington Campus",,,,,
"Devry University, Edina Campus",,,,,
"University of Phoenix, Gardena Learning Center, Gardena",,,,,
"University of Phoenix, Pasadena Learning Center, Pasadena",,,,,
Drew University,,,,,
"Texas A&M University, Commerce",,,,,
Pepperdine University,,,,,
"Stony Brook University, State University of New York (SUNY)",,,,,
"University of Phoenix, Shreveport-Bossier Campus, Bossier City",,,,,
"University of Missouri, Kansas City",,,,,
"University of Phoenix, Las Colinas Learning Center, Irving",,,,,
"University of Arkansas, Fayetteville",,,,,
"University of Phoenix, Minneapolis/ St. Paul Campus, St. Louis Park",,,,,
"Devry University, Cherry Hill Center",,,,,
"University of California, Davis",,,,,
"University of Colorado, Boulder",,,,,
Fordham University,,,,,
University of Portland,,,,,
Pacific University,,,,,
University of Central Oklahoma,,,,,
New York University,,,,,
American University,,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
Loma Linda University,,,,,
"University of Phoenix, Kapolei Learning Center, Kapolei",,,,,
University of Pennsylvania,,,,,
Johns Hopkins University,,,,,
Doane College,,,,,
Regent University,,,,,
University of Denver,,,,,
Illinois Institute of Technology,,,,,
University of Pennsylvania,,,,,
University of Georgia,,,,,
"Devry University, Sandy Campus",,,,,
Northeastern University,,,,,
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,,,,
"University of Phoenix, Stonecrest Learning Center, San Diego",,,,,
University of Scranton,,,,,
"Carnegie Mellon University, Australia",,,,,
Carnegie Mellon University,,,,,
Florida International University,,,,,
Oral Roberts University,,,,,
Northeastern University,,,,,
"Devry University, Glendale Center",,,,,
"Devry University, Charlotte Campus",,,,,
"University of Michigan, Dearborn",,,,,
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,,,,
"Devry University, Bethesda Center",,,,,
"University of Phoenix, Downtown Chicago Learning Center, Chicago",,,,,
"Pennsylvania State University, University Park",,,,,
Harvard Business School,,,,,
Missouri University of Science and Technology,,,,,
Xavier University,,,,,
Goshen College,,,,,
University of Houston,,,,,
"University of Phoenix, Oakleaf Learning Center, Jacksonville",,,,,
"University of Phoenix, East El Paso Learning Center, El Paso",,,,,
"University of Massachusetts, Amherst",,,,,
"University of Phoenix, Murrietta Learning Center, Murrietta",,,,,
Massachusetts Institute of Technology,,,,,
University of Pittsburgh-Carnegie Mellon University,,,,,
"University of Phoenix, Puerto Rico Campus, Guaynabo",,,,,
Boston University,,,,,
"University of Michigan, Ann Arbor",,,,,
Boston University,,,,,
University of Hartford,,,,,
"University of Phoenix, North Florida Learning Center, Jacksonville",,,,,
Massachusetts Institute of Technology,,,,,
"University of Nevada, Las Vegas",,,,,
"Devry University, Arlington (Crystal City) Campus",,,,,
University of Oregon,,,,,
"Devry University, Miami Center",,,,,
New York Medical College,,,,,
Boston College,,,,,
Georgetown University,,,,,
"University of Phoenix, Milwaukee Campus, Brookville",,,,,
Duke University,,,,,
"University of Phoenix, Miami Learning Center, Miami",,,,,
University of Connecticut,,,,,
"Auburn University, Auburn",,,,,
,Department of Communication and Journalism,0.0,,5,8
Doane College,,,,,
University of Kansas,,,,,
"Carnegie Mellon University, Greece",,,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,,
University of Dallas,,,,,
University of Pittsburgh,,,,,
Massachusetts Institute of Technology,,,,,
,Electrical Engineering and Computer Science,11.0,6,85,7
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, North Milwaukee Learning Center, Milwaukee",,,,,
Luther Seminary,,,,,
Keuka College,,,,,
University of Scranton,,,,,
University of Houston,,,,,
Columbia University,,,,,
Lutheran School of Theology at Chicago,,,,,
"University of Colorado, Boulder",,,,,
University of Florida,,,,,
"Devry University, Pittsburgh Campus",,,,,
"Arizona State University, Phoenix",,,,,
University of Rhode Island,,,,,
Vanderbilt University,,,,,
"Texas A&M University, Commerce",,,,,
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,,,,
"Devry University, Irving Campus",,,,,
Davenport University,,,,,
"University of Colorado, Boulder",,,,,
"Devry University, King of Prussia Center",,,,,
University of Miami,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Southfield Learning Center, Southfield",,,,,
Columbia University,,,,,
"Brigham Young University, Utah",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Las Vegas Campus, Las Vegas",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Lower Burcks County Learning Center, Levittown",,,,,
"University of Phoenix, Taylorsville Learning Center, Salt Lake City",,,,,
"University of Phoenix, Charlotte North Learning Center, Charlotte",,,,,
University of Pittsburgh,,,,,
Delaware State University,,,,,
"Devry University, Westminster Campus",,,,,
"Devry University, Manhattan Center",,,,,
University of San Francisco,,,,,
Mississippi State University,,,,,
"Indiana University, East",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Northern Nevada Campus, Reno",,,,,
University of Iowa,,,,,
"University of Phoenix, Tacoma Learning Center, Tacoma",,,,,
"University of Wisconsin, Madison",,,,,
University of Pittsburgh,,,,,
"University of Phoenix, Greensboro Learning Center, Greensboro",,,,,
"University of Michigan, Ann Arbor",,,,,
Dominican University,,,,,
Lewis & Clark College,,,,,
