Institution,Specific Graduate Program,Minimum Score Requirement,City,State
"Adelphi University, Garden City",,,,
Alfred University,,,,
Alverno College,,,,
,1,2.0,0,1
,Master of Science in Community Psychology,2.0,0,1
,Master of Arts in Education,0.0,0,1
American University,,,,
,3,2.0,1,2
,School of Communication,2.0,1,2
,4,2.0,1,2
,School of International Service,2.0,1,2
"Anderson University, Indiana",,,,
Andrews University,,,,
"Arizona State University, Mesa",,,,
"Arizona State University, Phoenix",,,,
"Arizona State University, Tempe",,,,
Arkansas State University,,,,
Arkansas Tech University,,,,
Assumption College,,,,
"Auburn University, Auburn",,,,
,7,0.0,5,8
,6,0.0,5,8
,Department of Communication and Journalism,0.0,5,8
,8,0.0,5,8
,Harrison School of Pharmacy,0.0,5,8
"Auburn University, Montgomery",Masters of Real Estate Development,2.0,5,8
Azusa Pacific University,,,,
Baldwin-Wallace College,,,,
"Baruch College, City University of New York (CUNY)",,,,
,Division of Continuing and Professional Studies,0.0,6,0
,4,2.0,6,0
Baylor College of Medicine,,,,
Bellarmine University,,,,
Biola University,,,,
Bloomfield College,,,,
Boise State University,,,,
,Business Graduate Programs,0.0,9,14
Boston College,,,,
,Carroll School of Management,7.0,10,7
,11,8.0,10,7
Boston University,,,,
,13,1.0,11,7
,11,0.0,11,7
,School of Management,2.0,11,7
,14,0.0,11,7
,15,0.0,11,7
Brandeis University,,,,
,11,2.0,12,7
,Heller Graduate School (SID Program),0.0,12,7
,SLIFKA Program in Intercommunal Coexistence,2.0,12,7
"Brigham Young University, Utah",,,,
Bryn Mawr College,,,,
"California Baptist University, Beaumont",,,,
"California Baptist University, Chino",,,,
"California Baptist University, Hesperia",,,,
"California Baptist University, Riverside",,,,
"California Baptist University, San Bernardino",,,,
California Lutheran University,,,,
"California State University, Fullerton",,,,
,Masters in TESOL,2.0,14,9
,1,0.0,14,9
Capella University (online),,,,
Capital University,,,,
,School of Management and Leadership,0.0,16,10
,Graduate Nursing,0.0,16,10
,1,0.0,16,10
Carnegie Mellon University,,,,
,"Tepper School of Business, Master of Business Administration",,17,16
,19,2.0,17,16
,Heinz College,5.0,17,16
,Civil & Environmental Engineering,5.0,17,16
,Department of Chemical Engineering,5.0,17,16
"Carnegie Mellon University, Australia",,,,
,Entertainment Technology Center,2.0,18,
,"Heinz School, School of Information Systems and Management",2.0,18,
"Carnegie Mellon University, Greece",,,,
"Carnegie Mellon University, Japan",,,,
"Carnegie Mellon University, Portugal",,,,
Carson-Newman College,,,,
Chamberlain College of Nursing (online),,,,
Chapman University,,,,
,Argyros School of Business and Economics,2.0,20,9
"City University of Seattle, Business and Hotel Management School",,,,
"City University of Seattle, Calgary",,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,
,MS in Project Management,,19,
"City University of Seattle, Edmonton",,,,
"City University of Seattle, IntercollegeIBS - Institute of Business Studies",,,,
"City University of Seattle, University of International Business and Economics",,,,
"City University of Seattle, Vancouver, Canada",,,,
,22,,21,20
,21,,21,20
"City University of Seattle, Victoria",,,,
,21,,22,21
,22,,22,21
"City University of Seattle, Vysoka Skola Financni a Spravni",,,,
"City University of Seattle, Vysoka Skola Manazmentu",,,,
Claremont Graduate University,,,,
Clarkson University,,,,
Clark University,,,,
,24,0.0,4,7
College of Charleston,,,,
"College of Staten Island, City University of New York (CUNY)",,,,
,Mental Health Counseling,2.0,23,0
College of William and Mary (The),,,,
,1,0.0,24,23
,Mason School of Business,1.0,24,23
Colorado Heights University,,,,
"Colorado State University, Fort Collins",,,,
"Colorado State University, Pueblo",,,,
,1,10.0,27,24
Columbia Southern University,,,,
Columbia University,,,,
