Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,State
"Devry University, Rego Park (Queens) Center",,,,
Duke University,,,,
"Devry University, Downers Grove Center",,,,
Johns Hopkins University,,,,
"University of Colorado, Boulder",,,,
College of William and Mary (The),,,,
University of Miami,,,,
University of Delaware,,,,
University of Dallas,,,,
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,,,
"Devry University, San Jose Center",,,,
Alverno College,,,,
"University of Phoenix, Puerto Rico Campus, Guaynabo",,,,
"University of Phoenix, Macon Learning Center, Macon",,,,
Virginia Polytechnic Institute and State University,,,,
"University of Michigan, Ann Arbor",,,,
Pace University,,,,
University of Oregon,,,,
Mississippi State University,,,,
University of Denver,,,,
Trine University,,,,
University of Virginia,,,,
"Devry University, Chicago Loop Center",,,,
"City University of Seattle, IntercollegeIBS - Institute of Business Studies",,,,
Florida International University,,,,
"Devry University, Westminster Campus",,,,
Hofstra University,,,,
"University of Hawaii, Hilo",,,,
University of New Haven,,,,
Massachusetts Institute of Technology,,,,
Emory University,,,,
"Devry University, North Brunswick Campus",,,,
University of Virginia,,,,
"City University of Seattle, Vancouver, Canada",,,,
Alverno College,,,,
George Washington University,,,,
Lamar University,,,,
"University of Phoenix, San Marcos Learning Center, San Marcos",,,,
"Auburn University, Auburn",,,,
University of Oregon,,,,
University of Houston,,,,
University of New Haven,,,,
Massachusetts Institute of Technology,,,,
"Northwood University, Texas",,,,
"University of Phoenix, Sacramento Valley Campus, Sacramento",,,,
Dominican University,,,,
"University of Minnesota, Twin Cities",,,,
Massachusetts Institute of Technology,,,,
University of Scranton,,,,
University of New Haven,,,,
Duke University,,,,
"University of Colorado, Boulder",,,,
Doane College,,,,
Alverno College,,,,
New York Medical College,,,,
George Washington University,,,,
"Devry University, Bakersfield Center",,,,
Dominican University,,,,
University of the Pacific,,,,
University of Pittsburgh,,,,
University of Cincinnati,,,,
"University of Phoenix, Mid Cities Learning Center, Hurst",,,,
Georgia State University,,,,
"Long Island University, Post",,,,
Luther Seminary,,,,
"Auburn University, Auburn",,,,
Massachusetts Institute of Technology,,,,
"Devry University, Richardson Center",,,,
"University of Phoenix, Des Peres Learning Center, Des Peres",,,,
Niagara University,,,,
University of Georgia,,,,
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,,,
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,,,
University of Pittsburgh,,,,
Vanderbilt University,,,,
"Devry University, Ft. Lauderdale Center",,,,
Marywood University,,,,
Eastern University,,,,
"Devry University, Paramus Center",,,,
Davenport University,,,,
University of Virginia,,,,
"Devry University, Greenwood Village (Denver South) Center",,,,
University of Pittsburgh,,,,
"Devry University, Irving Campus",,,,
Northeastern University,,,,
"University of Phoenix, Charlotte Campus, Charlotte",,,,
Kent State University,,,,
"University of Phoenix, Franklin Learning Center, Franklin",,,,
"University of Phoenix, Lansing Learning Center, Lansing",,,,
Northeastern University,,,,
University of Denver,,,,
"Temple University, Japan Campus",,,,
Syracuse University,,,,
"University of Phoenix, Northwest Learning Center, Las Vegas",,,,
"Devry University, Sherman Oaks Campus",,,,
University of Dallas,,,,
"University of Phoenix, Ontario Learning Center, Ontario",,,,
Capella University (online),,,,
Luther Seminary,,,,
"University of Phoenix, Madison Campus, Madison",,,,
Maryland Institute College of Art,,,,
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,,,
"University of Phoenix, Whichita Campus, Whichita",,,,
"University of Phoenix, Kapolei Learning Center, Kapolei",,,,
Lake Erie College,,,,
Pacific University,,,,
"University of Phoenix, La Palma Learning Center, La Palma",,,,
"University of Phoenix, North Florida Learning Center, Jacksonville",,,,
"University of Phoenix, Southern California Campus, Costa Mesa",,,,
Golden Gate University,,,,
"College of Staten Island, City University of New York (CUNY)",,,,
"Devry University, Oklahoma City Campus",,,,
University of Pittsburgh,,,,
University of Texas Medical Branch,,,,
University of North Texas,,,,
Doane College,,,,
Ohio State University,,,,
Massachusetts Institute of Technology,,,,
"City University of Seattle, Victoria",,,,
"California Baptist University, Hesperia",,,,
"University of Phoenix, Daytona Learning Center, Daytona Beach",,,,
"Colorado State University, Fort Collins",,,,
Seton Hall University,,,,
"University of California, Berkeley",,,,
Florida International University,,,,
University of New Haven,,,,
San Francisco Art Institute,,,,
Arkansas State University,,,,
Chamberlain College of Nursing (online),,,,
Boise State University,,,,
"Devry University, Columbus North Center",,,,
"Devry University, Henderson Campus",,,,
Regent University,,,,
"University of Phoenix, Northland Learning Center, Kansas City",,,,
Gonzaga University,,,,
Syracuse University,,,,
Florida International University,,,,
"University of Phoenix, Taylorsville Learning Center, Salt Lake City",,,,
"University of Phoenix, Birmingham Campus, Birmingham",,,,
Illinois Institute of Technology,,,,
"City University of Seattle, Victoria",,,,
"Texas A&M University, College Station",,,,
"University of Phoenix, San Antonio Campus, San Antonio",,,,
Doane College,,,,
Midland Lutheran College,,,,
Fordham University,,,,
University of Florida,,,,
"Devry University, Cincinnati Campus",,,,
"University of Phoenix, Arlington Student Resource Center, Arlington",,,,
University of Southern Mississippi,,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, Mesa Learning Center, Mesa",,,,
University of Houston,,,,
Wesleyan University,,,,
"University of Alaska, Anchorage",,,,
