Subtitle,Common Name (click for description),Moisture Requirement,Deer Resistant?
WILDFLOWERS - Meadows - Sun to Partial Shade,Orange Coneflower,0.0,1.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Alumroot,3.0,0.0
TREES - Small (< 25'),Sassafras,0.0,1.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Solomon's Seal,0.0,1.0
SHRUBS - Large (> 6'),Highbush Blueberry,2.0,1.0
SHRUBS - Small (< 3'),Sweetfern,4.0,0.0
SHRUBS - Medium (3 - 6'),Virginia Sweetspire,2.0,0.0
FERNS,Maidenhair Fern,0.0,0.0
FERNS,Ostrich Fern,1.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Purple Milkweed,2.0,0.0
SHRUBS - Medium (3 - 6'),Red-osier Dogwood,1.0,1.0
WILDFLOWERS - Meadows - Sun to Partial Shade,White Turtlehead,1.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Wild Strawberry,0.0,0.0
TREES - Large (25 - 50+'),Mockernut Hickory,0.0,1.0
VINES,Groundnut,2.0,0.0
TREES - Large (25 - 50+'),White Oak,3.0,1.0
TREES - Small (< 25'),Sweetbay Magnolia,2.0,1.0
FERNS,Hay-scented Fern,0.0,0.0
SHRUBS - Large (> 6'),American Hazelnut,0.0,1.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Foamflower,3.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Hairy Beardtongue,0.0,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Jack-in-the-pulpit,3.0,1.0
TREES - Large (25 - 50+'),American Holly,0.0,1.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Cardinal Flower,1.0,0.0
GRASSES,Wool Grass,1.0,0.0
SHRUBS - Medium (3 - 6'),Wild Hydrangea,3.0,1.0
TREES - Small (< 25'),Pawpaw,3.0,1.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Clustered Mountain-Mint,0.0,0.0
TREES - Large (25 - 50+'),Shagbark Hickory,2.0,1.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Mayapple,3.0,0.0
GRASSES,Big Bluestem,0.0,0.0
TREES - Small (< 25'),Flowering Dogwood,0.0,1.0
AQUATIC PLANTS - Sun to Partial Shade,Lizards Tail,1.0,0.0
TREES - Small (< 25'),River Birch,2.0,1.0
SHRUBS - Medium (3 - 6'),Sweet Pepperbush,2.0,1.0
AQUATIC PLANTS - Sun to Partial Shade,Pickerelweed,1.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Paleleaf Woodland Sunflower,4.0,1.0
WILDFLOWERS - Meadows - Sun to Partial Shade,Purple Mistflower,2.0,0.0
TREES - Large (25 - 50+'),American Beech,3.0,1.0
SHRUBS - Small (< 3'),New Jersey Tea,6.0,1.0
TREES - Small (< 25'),Ironwood,3.0,1.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Purple Joe-Pye,0.0,0.0
SHRUBS - Large (> 6'),Smooth Alder,1.0,1.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,White Wood Aster,0.0,1.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,Wild Bleeding Heart,0.0,0.0
