Common Name (click for description),Moisture Requirement
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Wild Geranium,0.0
TREES - Small (< 25'),
TREES - Large (25 - 50+'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
TREES - Small (< 25'),
FERNS,
WILDFLOWERS - Meadows - Sun to Partial Shade,
White Turtlehead,1.0
VINES,
WILDFLOWERS - Meadows - Sun to Partial Shade,
Anise Hyssop,3.0
Turk's Cap Lily,3.0
SHRUBS - Small (< 3'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
SHRUBS - Large (> 6'),
GRASSES,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
VINES,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Marsh Marigold,1.0
Foamflower,3.0
FERNS,
Marsh Fern,1.0
Hay-scented Fern,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Black Cohosh,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
VINES,
WILDFLOWERS - Meadows - Sun to Partial Shade,
Clustered Mountain-Mint,0.0
TREES - Large (25 - 50+'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
FERNS,
SHRUBS - Large (> 6'),
SHRUBS - Medium (3 - 6'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
Joe Pye Weed,2.0
TREES - Large (25 - 50+'),
American Holly,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
SHRUBS - Large (> 6'),
SHRUBS - Medium (3 - 6'),
SHRUBS - Small (< 3'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
SHRUBS - Large (> 6'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
TREES - Small (< 25'),
SHRUBS - Large (> 6'),
TREES - Large (25 - 50+'),
Sugar Maple,3.0
TREES - Small (< 25'),
TREES - Large (25 - 50+'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
AQUATIC PLANTS - Sun to Partial Shade,
GRASSES,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
SHRUBS - Large (> 6'),
Blackhaw,0.0
Bayberry,2.0
WILDFLOWERS - Meadows - Sun to Partial Shade,
SHRUBS - Large (> 6'),
TREES - Large (25 - 50+'),
SHRUBS - Large (> 6'),
SHRUBS - Medium (3 - 6'),
AQUATIC PLANTS - Sun to Partial Shade,
GRASSES,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
SHRUBS - Medium (3 - 6'),
Red Chokeberry,2.0
TREES - Large (25 - 50+'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
SHRUBS - Small (< 3'),
GRASSES,
WILDFLOWERS - Meadows - Sun to Partial Shade,
GRASSES,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
WILDFLOWERS - Meadows - Sun to Partial Shade,
Adam's Needle,7.0
Woodland Sunflower,4.0
VINES,
GRASSES,
FERNS,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
SHRUBS - Small (< 3'),
AQUATIC PLANTS - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Virginia Waterleaf,2.0
SHRUBS - Large (> 6'),
TREES - Small (< 25'),
SHRUBS - Large (> 6'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
SHRUBS - Medium (3 - 6'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
TREES - Small (< 25'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
TREES - Large (25 - 50+'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Jack-in-the-pulpit,3.0
WILDFLOWERS - Meadows - Sun to Partial Shade,
SHRUBS - Medium (3 - 6'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
Horsemint,4.0
AQUATIC PLANTS - Sun to Partial Shade,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Eastern Red Columbine,0.0
TREES - Large (25 - 50+'),
FERNS,
Marginal Wood Fern,0.0
SHRUBS - Medium (3 - 6'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
AQUATIC PLANTS - Sun to Partial Shade,
SHRUBS - Large (> 6'),
TREES - Large (25 - 50+'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
Purple Milkweed,2.0
GRASSES,
SHRUBS - Large (> 6'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
SHRUBS - Small (< 3'),
SHRUBS - Medium (3 - 6'),
WILDFLOWERS - Meadows - Sun to Partial Shade,
AQUATIC PLANTS - Sun to Partial Shade,
SHRUBS - Large (> 6'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Alumroot,3.0
FERNS,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
GRASSES,
TREES - Small (< 25'),
SHRUBS - Medium (3 - 6'),
GRASSES,
FERNS,
TREES - Large (25 - 50+'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
WILDFLOWERS - Meadows - Sun to Partial Shade,
Prickly Pear Cactus,7.0
TREES - Large (25 - 50+'),
GRASSES,
SHRUBS - Large (> 6'),
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
Mad Dog Skullcap,2.0
WILDFLOWERS - Meadows - Sun to Partial Shade,
Late Boneset,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
GRASSES,
WILDFLOWERS - Meadows - Sun to Partial Shade,
Wild Strawberry,0.0
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,
TREES - Large (25 - 50+'),
