Subtitle,Moisture Requirement,Deer Resistant?
FERNS,0.0,0.0
FERNS,1.0,0.0
FERNS,0.0,0.0
FERNS,2.0,0.0
FERNS,0.0,0.0
FERNS,0.0,0.0
FERNS,1.0,0.0
FERNS,1.0,0.0
FERNS,1.0,0.0
FERNS,1.0,0.0
GRASSES,0.0,0.0
GRASSES,3.0,0.0
GRASSES,0.0,0.0
GRASSES,2.0,0.0
GRASSES,0.0,0.0
GRASSES,4.0,0.0
GRASSES,3.0,0.0
GRASSES,0.0,0.0
GRASSES,0.0,0.0
GRASSES,4.0,0.0
GRASSES,1.0,0.0
GRASSES,1.0,0.0
SHRUBS - Small (< 3'),4.0,1.0
SHRUBS - Small (< 3'),4.0,0.0
SHRUBS - Small (< 3'),5.0,0.0
SHRUBS - Small (< 3'),6.0,1.0
SHRUBS - Small (< 3'),5.0,0.0
SHRUBS - Small (< 3'),4.0,0.0
SHRUBS - Medium (3 - 6'),4.0,1.0
SHRUBS - Medium (3 - 6'),2.0,1.0
SHRUBS - Medium (3 - 6'),4.0,0.0
SHRUBS - Medium (3 - 6'),0.0,0.0
SHRUBS - Medium (3 - 6'),0.0,1.0
SHRUBS - Medium (3 - 6'),2.0,1.0
SHRUBS - Medium (3 - 6'),1.0,1.0
SHRUBS - Medium (3 - 6'),2.0,1.0
SHRUBS - Medium (3 - 6'),0.0,1.0
SHRUBS - Medium (3 - 6'),2.0,0.0
SHRUBS - Medium (3 - 6'),3.0,1.0
SHRUBS - Large (> 6'),0.0,1.0
SHRUBS - Large (> 6'),2.0,0.0
SHRUBS - Large (> 6'),0.0,1.0
SHRUBS - Large (> 6'),1.0,1.0
SHRUBS - Large (> 6'),1.0,1.0
SHRUBS - Large (> 6'),2.0,1.0
SHRUBS - Large (> 6'),2.0,1.0
SHRUBS - Large (> 6'),0.0,1.0
SHRUBS - Large (> 6'),6.0,1.0
SHRUBS - Large (> 6'),2.0,1.0
SHRUBS - Large (> 6'),0.0,1.0
SHRUBS - Large (> 6'),1.0,1.0
SHRUBS - Large (> 6'),1.0,1.0
SHRUBS - Large (> 6'),2.0,1.0
SHRUBS - Large (> 6'),1.0,1.0
SHRUBS - Large (> 6'),0.0,1.0
TREES - Small (< 25'),0.0,1.0
TREES - Small (< 25'),0.0,1.0
TREES - Small (< 25'),3.0,1.0
TREES - Small (< 25'),3.0,1.0
TREES - Small (< 25'),0.0,1.0
TREES - Small (< 25'),2.0,1.0
TREES - Small (< 25'),0.0,1.0
TREES - Small (< 25'),2.0,1.0
TREES - Large (25 - 50+'),3.0,1.0
TREES - Large (25 - 50+'),3.0,1.0
TREES - Large (25 - 50+'),0.0,1.0
TREES - Large (25 - 50+'),2.0,1.0
TREES - Large (25 - 50+'),2.0,1.0
TREES - Large (25 - 50+'),4.0,0.0
TREES - Large (25 - 50+'),0.0,1.0
TREES - Large (25 - 50+'),0.0,1.0
TREES - Large (25 - 50+'),0.0,1.0
TREES - Large (25 - 50+'),0.0,1.0
TREES - Large (25 - 50+'),2.0,1.0
TREES - Large (25 - 50+'),2.0,1.0
TREES - Large (25 - 50+'),3.0,1.0
TREES - Large (25 - 50+'),1.0,1.0
TREES - Large (25 - 50+'),0.0,1.0
TREES - Large (25 - 50+'),3.0,1.0
VINES,3.0,0.0
VINES,2.0,0.0
VINES,0.0,0.0
VINES,3.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,7.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,3.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,7.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,2.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,3.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,1.0,1.0
WILDFLOWERS - Meadows - Sun to Partial Shade,1.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,1.0,1.0
WILDFLOWERS - Meadows - Sun to Partial Shade,4.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,0.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,3.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,3.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,0.0,1.0
WILDFLOWERS - Meadows - Sun to Partial Shade,0.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,0.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,4.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,4.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,2.0,1.0
