Account Name,Contract Start Date,Membership Level,Website
Suppliers and Manufacturers,,,
IFC,41456.0,0.0,www.ifc.org
Crescent Textile Mills Ltd,42064.0,2.0,
"Changzhou Yingjie Environmental Technology Co., Ltd",42491.0,2.0,
"Ilshin Spinning Co., Ltd - Korea",42705.0,2.0,www.ilshin.kr
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Vaibhav Laxmi Export Pvt. Ltd.,40848.0,2.0,
Sinha Spinning Group,42186.0,2.0,
Aadhi Vinayaga Spinners,42736.0,2.0,
"Wahoo(Changshu) Imp&Exp Co., Ltd",41883.0,2.0,
"Sunvim Group Co., Ltd  No. 2 Towel Company",42095.0,2.0,
Dongguang Yiming Textile Co.Ltd,42036.0,2.0,
PT. Spinmill Indah Industry,42736.0,2.0,
Cone Denim,42156.0,2.0,
Yuyue Home Textile Co. Ltd.,41334.0,2.0,
Bari Textile Mills Pvt Ltd.,42736.0,3.0,
Candiani S.p.A.,40664.0,2.0,
"Atlantic Mills (Thailand) Co., Ltd and AMC Spinning Co., Ltd",42217.0,2.0,
Grupo Industrial Miro SA de C V,42675.0,2.0,www.grupomiro.com
Sri Vishnu Shankar Mill Ltd.,41821.0,2.0,
"PiZhou Yinchao Textile Co.,Ltd",42491.0,2.0,
Anadolu Iplik ve Tekstil FabrikalarÂ› Sanayi Anonim Sirketi,42430.0,2.0,
Dok-San Denizli Dokuma San. ve Tic. A.S.,42430.0,3.0,
Top Star Textiles,40756.0,2.0,
Far Eastern Industries (WuXi) Ltd.,41214.0,2.0,
Idupulapadu Cotton Mills Pvt. Ltd.,41640.0,2.0,
Plummy Fashions Limited,42278.0,3.0,
PT Easterntex,42248.0,2.0,
RSB Cottex Ltd.,42217.0,2.0,
Kikani Exports Pvt Ltd,42767.0,2.0,www.kikaniexports.com
Huangchuan Rongfeng Textile Industrial Co.Ltd,41944.0,2.0,
RMT Textile Mills Ltd.,41883.0,2.0,
Welspun India Limited,41821.0,2.0,
Antonio de Almeida & Filhos Texteis SA,42705.0,2.0,www.moretextilegroup.com
Zahidjee Textile Mills Limited,42736.0,2.0,www.zahidjee.com.pk
Dhancot Fibres Pvt. Ltd.,42522.0,2.0,
Aastha Spintex Pvt Ltd,42278.0,2.0,
Shri Vallabh Pittie Industries Ltd,42705.0,2.0,www.pittie.com
"Black Peony Group Import &Export  Co.,Ltd.",42795.0,2.0,www.blackpeony.com
FM Denim Co Ltd,42217.0,2.0,
"Hubei Jinghua Textile Group Co.,Ltd",42430.0,2.0,
United Spinning Mills (Pvt) Ltd.,42705.0,2.0,
Akij Textile Mills Ltd,42278.0,2.0,
Maksons Spinning Mills Ltd.,41913.0,2.0,
Amber Group,41671.0,2.0,
PT Primayudha Mandirijaya,42248.0,2.0,
Cocamar Cooperativa Agroindustrial,42767.0,2.0,www.cocamar.com.br
Oswal Woollen Mills Limited,42156.0,2.0,
Bossa,40878.0,2.0,
Spintex Swaziland (Pty) Ltd.,42614.0,2.0,
Hateks Hatay Tekstil,40756.0,2.0,
Din Textile Mills,40940.0,2.0,
Thiagarajar Mills Pvt. Ltd.,41821.0,2.0,
Ravali Spinners Pvt Ltd,42064.0,2.0,
Buhler Group,42339.0,2.0,
"Turbo Yarn, S.A. de C.V.",42675.0,2.0,www.turboyarn.com.mx
"Jiangsu Yulan Yarn-Dyed Fabric Co.,Ltd",42095.0,3.0,
L. S. Mills Ltd.,42461.0,2.0,
Faisal Fabrics Ltd.,42248.0,3.0,
Ipek Tekstil ve Dis Tic. A.S,42339.0,2.0,
"Tejidos Royo, S.L.",41456.0,2.0,www.royotextile.com
"Sanyang textile co., LTD",42583.0,2.0,
Jiangsu Zhongheng Dyeing & Finishing Co. Ltd.,41579.0,2.0,
Bhalchandram Clothing Ltd (Lahoti Group),42248.0,2.0,
Jihua 3542 Textile Co. Ltd.,41760.0,2.0,
Crescent Fibres Limited,41821.0,2.0,
PT Lucky Print Abadi,42705.0,3.0,www.luckytex.com
"Suqian City Ke Xin Textile Co., Ltd.",42614.0,2.0,
M/S Seeds & Grains India Pvt. Ltd.,41913.0,2.0,
Super Sales India Ltd,42736.0,2.0,www.supersales.co.in
BSB Spinning Mills Ltd,42491.0,2.0,
C.A. Textile Mills (Pvt) Ltd,41944.0,2.0,
Rubenis Klima San. Tic. A.S.,42095.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Cargill,41214.0,2.0,
AB Cotspin India Ltd,42248.0,2.0,
Erve Buying,42736.0,3.0,www.erve.com
Mustaqim Dyeing and Printing Industries Pvt. Ltd.,40513.0,2.0,
Naveena Exports Ltd.,40513.0,2.0,
Nantong Shuanglian,41518.0,2.0,
Sandipkumar Dharmendrakumar,42309.0,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Tamishna Synthetics Ltd,42522.0,2.0,
Kikani Enterprises Pvt Ltd,42278.0,3.0,
"Gemma Knits (Thailand) Co., Ltd.",42705.0,3.0,
Avaneetha Textiles Pvt. Ltd.,42125.0,2.0,
Bulut Tekstil San. ve Tic. Ltd. Sti.,41821.0,2.0,
Gapsan Tekstil San. ve Tic. A.S.,42522.0,2.0,
"Ningbo win-win Melange Yarn Co.,Ltd",42522.0,2.0,
Indus Group of Companies,41122.0,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Hamid Fabrics Ltd.,41821.0,3.0,
Theni Guru Krishna Textile Mills Pvt Ltd,42705.0,2.0,www.atktextiles.com
Glossy Impex Pvt Ltd,42705.0,2.0,www.glossy.in
"CVS Distributor Co., Ltd.",42156.0,3.0,
South Asia Textile Industries Lanka (Pvt) Ltd.,42614.0,3.0,
Vardhman Textiles,40787.0,2.0,
"Sociedade Algodoeira do Niassa JFS, SARL",41091.0,3.0,
Lingxian Hengyu Textiles Co.Ltd,42522.0,2.0,
"Yarns&Colors Co.,Ltd",42644.0,2.0,www.yarnscolors.com
Interloop Ltd.,41395.0,2.0,
Mei Sheng Textiles Vietnam Co. Ltd.,42705.0,2.0,
"Kuk Il Spinning Co., Ltd",42705.0,2.0,
Asia Composite Mills Ltd,42309.0,2.0,
Alpine Knits India Pvt. Ltd.,41671.0,2.0,
Klopman International SRL,42491.0,3.0,
Mittapalli Spinners Ltd,42705.0,2.0,www.mittapallispinners.com
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Maritas Tekstil San. ve Tic. A.S.,41913.0,2.0,
WestPoint Home LLC,42552.0,2.0,
Nantong Tongzhou Jianghua Textile Company Ltd.,42309.0,2.0,
Vijay Pratisthan,42370.0,2.0,
The Lakshmi Mills Company Ltd,42705.0,2.0,www.lakshmimills.com
Sutlej Textiles & Industries Ltd.,41974.0,2.0,
Bussa Tekstil ve Enerji Ltd.Sti,42644.0,2.0,www.bussatekstil.com
Nishat Mills,40725.0,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Pee Vee Textiles Ltd,42156.0,2.0,
Anwara Mannan Textile Mills Limited,41913.0,2.0,
Sri Sankari Yarns Pvt. Ltd.,41730.0,2.0,
Amber Cotton Mills Ltd,42339.0,2.0,
Grupo Mundifios,,2.0,
"Hebei  Like  Textile  Co.,Ltd",42430.0,2.0,
"Nangtong Doublegreat Textile Co.,Ltd",42705.0,2.0,www.ntshtex.com
Louis Dreyfus Company,40940.0,2.0,www.ldcom.com
Texhong Textile Group Ltd.,41609.0,2.0,
"Tiong Liong Industrial Co., Ltd.",42430.0,2.0,
Syed Spinning & Cotton Mills Ltd.,42461.0,2.0,
PT Kahatex,41640.0,2.0,
Uspar Tekstil San. ve Tic. A.S.,41640.0,2.0,
Panther Textile Holding Co. Ltd. (Tat Fung Textile Co.),41579.0,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
"Yixing Jin Yu Textile Co., Ltd",42705.0,2.0,www.qfc.cn/company/d408466/
Marteks Maras Tekstil Sanayi A.S.,42767.0,2.0,www.marteksmaras.com
Narteks Tekstil San. ve Tic. A.S.,41699.0,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Zhejiang Changshan Textile Co.Ltd.,42186.0,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Basil Commodities Pvt. Ltd. (Basil Group),41122.0,2.0,
Associate Members,,,
Suppliers and Manufacturers,,,
Luoyang White Horse Group Co.Ltd.,42036.0,2.0,
Jiangsu Guotai Huasheng Industrial Co. Ltd.,41760.0,2.0,
Soorty Enterprises (Pvt.) Ltd.,40878.0,2.0,
Al Karam Group,41306.0,2.0,
Gokhan Tekstil San ve Tic A.S,42736.0,2.0,www.gokhan.com.tr
RKS Cotton Pvt Ltd,42644.0,2.0,
Zibo Yinshilai Textile Co. Ltd.,41671.0,2.0,
Sagar Manufacturers Pvt Ltd,42705.0,2.0,www.sagarmanufacturers.com
Paul Reinhart AG,40940.0,2.0,
Rajby Textiles (Pvt) Ltd,42552.0,3.0,
B. K. S. Textiles Pvt Ltd,42156.0,3.0,
"Jiaozuo Haihua Textile Co.,Ltd",42186.0,2.0,
Producer Organisation,,,
