Subtitle,Account Name,Contract Start Date,Membership Level,Website
Suppliers and Manufacturers,IFC,41456.0,0.0,www.ifc.org
Suppliers and Manufacturers,Crescent Textile Mills Ltd,42064.0,2.0,
Suppliers and Manufacturers,"Changzhou Yingjie Environmental Technology Co., Ltd",42491.0,2.0,
Suppliers and Manufacturers,"Ilshin Spinning Co., Ltd - Korea",42705.0,2.0,www.ilshin.kr
Suppliers and Manufacturers,Balsuyu Mensucat San. ve Tic. A.S.,41609.0,2.0,
Retailers and Brands,OVS Spa,42644.0,0.0,www.ovscorporate.it
Suppliers and Manufacturers,Vaibhav Laxmi Export Pvt. Ltd.,40848.0,2.0,
Suppliers and Manufacturers,Sinha Spinning Group,42186.0,2.0,
Suppliers and Manufacturers,Aadhi Vinayaga Spinners,42736.0,2.0,
Suppliers and Manufacturers,"Wahoo(Changshu) Imp&Exp Co., Ltd",41883.0,2.0,
Suppliers and Manufacturers,"Sunvim Group Co., Ltd  No. 2 Towel Company",42095.0,2.0,
Suppliers and Manufacturers,Dongguang Yiming Textile Co.Ltd,42036.0,2.0,
Suppliers and Manufacturers,PT. Spinmill Indah Industry,42736.0,2.0,
Suppliers and Manufacturers,Cone Denim,42156.0,2.0,
Suppliers and Manufacturers,Yuyue Home Textile Co. Ltd.,41334.0,2.0,
Suppliers and Manufacturers,Bari Textile Mills Pvt Ltd.,42736.0,3.0,
Suppliers and Manufacturers,Candiani S.p.A.,40664.0,2.0,
Suppliers and Manufacturers,"Atlantic Mills (Thailand) Co., Ltd and AMC Spinning Co., Ltd",42217.0,2.0,
Suppliers and Manufacturers,Grupo Industrial Miro SA de C V,42675.0,2.0,www.grupomiro.com
Suppliers and Manufacturers,Sri Vishnu Shankar Mill Ltd.,41821.0,2.0,
Suppliers and Manufacturers,"PiZhou Yinchao Textile Co.,Ltd",42491.0,2.0,
Suppliers and Manufacturers,Anadolu Iplik ve Tekstil FabrikalarÂ› Sanayi Anonim Sirketi,42430.0,2.0,
Suppliers and Manufacturers,Dok-San Denizli Dokuma San. ve Tic. A.S.,42430.0,3.0,
Suppliers and Manufacturers,Top Star Textiles,40756.0,2.0,
Suppliers and Manufacturers,Far Eastern Industries (WuXi) Ltd.,41214.0,2.0,
Suppliers and Manufacturers,Idupulapadu Cotton Mills Pvt. Ltd.,41640.0,2.0,
