Item #,Description,On Hand,Special,Disc. %
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
JRS1Q20,SAKO 85 FINNLIGHT 30-06,1.0,1950.0,15.22000027
SAVAXIS06,SAVAGE AXIS SS 30-06,2.0,375.0,25.0
Rimfire Rifles,,,,
Centrefire Rifles,,,,
K3000814,KIMBER MONTANA 280 ACK. IMP.,1.0,1700.0,19.01000023
35202216,BROWNING X-BLT SS 7mm-08 REM,1.0,1126.25,15.00000095
Shotguns,,,,
Centrefire Rifles,,,,
JRTV120,TIKKA T3 CAMO STAINLESS 30-06 SPRG,1.0,845.0,21.76000023
Shotguns,,,,
Centrefire Rifles,,,,
Restricted Firearms,,,,
Shotguns,,,,
Centrefire Rifles,,,,
TH31041SS,TIKKA T3 HUNTER SS 300 WIN,2.0,845.0,28.69000053
Restricted Firearms,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
35202248,BROWNING X-BLT SS 270 WSM,1.0,1168.75,15.00000095
Restricted Firearms,,,,
RUG5027,RUGER RDHWK 45 COLT SS,2.0,1075.0,28.09000015
Rimfire Rifles,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
Restricted Firearms,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
35330226,BROWNING X-BLT MED MAPLE 30-06 SPRG,1.0,1075.25,15.00000095
R27107,REM 700 CDL LH 30-06,1.0,695.0,39.56999969
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Shotguns,,,,
Restricted Firearms,,,,
Rimfire Rifles,,,,
21001102,BROWNING AUTO 22 GRADE 1 22LR,1.0,725.0,12.64999962
Shotguns,,,,
FRA0426200,"FRANCHI INTENSITY 12 GA 3.5"" 28""",1.0,1270.75,15.00000095
Restricted Firearms,,,,
Centrefire Rifles,,,,
Shotguns,,,,
BEN20071,"BENELLI NOVA MAX-5 12 GA 3.5"" 28""",1.0,620.0,20.0
512299395,"WINCHESTER SXP ULT MAR DEF,12-3,18 INV+1",2.0,504.0,20.0
Centrefire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
Restricted Firearms,,,,
Shotguns,,,,
20051,"BENELLI NOVA TACT 3.5"" 12GA",1.0,476.0,20.0
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
SAV19234,SAVAGE AXIS XP 30-06 SPRG,2.0,425.0,15.0
Shotguns,,,,
Centrefire Rifles,,,,
R27273,REM 700 SPS SS 300 WIN,1.0,785.0,18.22999954
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
SAV22228,SAVAGE AXIS-II XP 30-06 SPFD,1.0,500.0,16.67000008
Rimfire Rifles,,,,
Restricted Firearms,,,,
Rimfire Rifles,,,,
SAV45200,SAVAGE 64 TR SR SEMI 22LR,2.0,360.0,20.0
