Item #,Description,On Hand,Reg.,Special
Rimfire Rifles,,,,
Shotguns,,,,
Rimfire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
NOS39648,NOSLER 48 LIBERTY 28 NOSLER,1.0,2295.0,1900.0
35330226,BROWNING X-BLT MED MAPLE 30-06 SPRG,1.0,1265.0,1075.25
Rimfire Rifles,,,,
Restricted Firearms,,,,
RUG5027,RUGER RDHWK 45 COLT SS,2.0,1495.0,1075.0
51808490,"BROWNING 1911-22 A1 TAN FS,S,22 LR",1.0,690.0,515.0
Rimfire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
35202229,BROWNING X-BLT SS 300 WIN MAG,1.0,1375.0,1168.75
Rimfire Rifles,,,,
SAV45110,SAVAGE 64FV-SR SEMI 22LR,2.0,315.0,252.0
Restricted Firearms,,,,
Shotguns,,,,
Centrefire Rifles,,,,
JRTV120,TIKKA T3 CAMO STAINLESS 30-06 SPRG,1.0,1080.0,845.0
TTT71RL103,TIKKA T3 SS FLUTED 300 WSM,1.0,1050.0,845.0
Shotguns,,,,
Centrefire Rifles,,,,
JRS1Q20,SAKO 85 FINNLIGHT 30-06,1.0,2300.0,1950.0
Restricted Firearms,,,,
Centrefire Rifles,,,,
35202248,BROWNING X-BLT SS 270 WSM,1.0,1375.0,1168.75
Rimfire Rifles,,,,
Centrefire Rifles,,,,
NOS39248,NOSLER 48 LIBERTY 30 NOSLER,2.0,2295.0,1900.0
Rimfire Rifles,,,,
Centrefire Rifles,,,,
T1T11LL103S,TIKKA T3 SYN 223 REM,1.0,840.0,675.0
Rimfire Rifles,,,,
Restricted Firearms,,,,
51802490,BROWNING 1911-22 A1 22LR,1.0,725.0,525.0
Centrefire Rifles,,,,
TH31041SS,TIKKA T3 HUNTER SS 300 WIN,2.0,1185.0,845.0
SAV22228,SAVAGE AXIS-II XP 30-06 SPFD,1.0,600.0,500.0
Restricted Firearms,,,,
J9A9F11,BERETTA 92A1 9MM,1.0,980.0,833.0
Shotguns,,,,
Rimfire Rifles,,,,
SAV40001,SAVAGE 64F SEMI 22LR,1.0,230.0,184.0
Shotguns,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Shotguns,,,,
512299395,"WINCHESTER SXP ULT MAR DEF,12-3,18 INV+1",2.0,630.0,504.0
Centrefire Rifles,,,,
SAV22224,SAVAGE AXIS-II XP 7MM-08 REM,1.0,600.0,500.0
Restricted Firearms,,,,
Rimfire Rifles,,,,
Shotguns,,,,
Rimfire Rifles,,,,
SAV28700,SAVAGE MKII FV 22 LR,3.0,310.0,265.0
Restricted Firearms,,,,
Centrefire Rifles,,,,
35299226,BROWNING X-BLT ECLP HUNT 30/06 SPRG,1.0,1175.0,998.75
Rimfire Rifles,,,,
Centrefire Rifles,,,,
35800246,BROWNING A-BLT 3 STLKR 300 WSM,1.0,675.0,573.75
34006118,BROWNING BLR 308 WIN,1.0,1195.0,1015.75
Shotguns,,,,
20051,"BENELLI NOVA TACT 3.5"" 12GA",1.0,595.0,476.0
Centrefire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
R27269,REM 700 SPS SS 30-06 SPRG,2.0,960.0,785.0
Shotguns,,,,
Centrefire Rifles,,,,
JRS2Q41,SAKO 85 FINNLIGHT 300 WSM,1.0,2300.0,1950.0
Shotguns,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
35202231,BROWNING X-BLT SS 338 WIN MAG,2.0,1375.0,1168.75
Shotguns,,,,
R25012,REM 870 MARINE MAG 12GA,1.0,995.0,796.0
Rimfire Rifles,,,,
