Item #,On Hand,Reg.,Special,Disc. %
Restricted Firearms,,,,
J9A9F11,1.0,980.0,833.0,15.0
JS92F510,1.0,1190.0,995.0,16.38999939
51802490,1.0,725.0,525.0,27.59000015
51808490,1.0,690.0,515.0,25.36000061
51498490,1.0,475.0,395.0,16.84000015
51507490,1.0,695.0,520.0,25.18000031
BM90831,1.0,1500.0,1095.0,27.0
G17GEN4FS,1.0,1035.0,875.0,15.46000004
G21GEN4FS,1.0,1175.0,950.0,19.14999962
G22GEN4FS,1.0,1065.0,875.0,17.84000015
RUG5027,2.0,1495.0,1075.0,28.09000015
1911-22-OD-TB,3.0,699.0,399.0,42.91999817
1911-22-C1,1.0,699.0,399.0,42.91999817
Centrefire Rifles,,,,
35800246,1.0,675.0,573.75,15.00000095
34006118,1.0,1195.0,1015.75,15.00000095
34018116,1.0,1225.0,1041.25,15.00000095
35299226,1.0,1175.0,998.75,15.00000095
35330226,1.0,1265.0,1075.25,15.00000095
35336209,1.0,1325.0,1126.25,15.00000095
35202248,1.0,1375.0,1168.75,15.00000095
35202229,1.0,1375.0,1168.75,15.00000095
35202246,2.0,1375.0,1168.75,15.00000095
35202231,2.0,1375.0,1168.75,15.00000095
35202216,1.0,1325.0,1126.25,15.00000095
35335209,1.0,999.0,849.15,15.00000095
35201246,2.0,1050.0,892.5,15.00000095
EDGE300,1.0,3350.0,2500.0,25.37000084
K3000814,1.0,2099.0,1700.0,19.01000023
K3000764,1.0,2975.0,2400.0,19.32999992
NOS32948,1.0,2295.0,1900.0,17.20999908
NOS39648,1.0,2295.0,1900.0,17.20999908
NOS39248,2.0,2295.0,1900.0,17.20999908
R84078,1.0,1150.0,695.0,39.56999969
R27107,1.0,1150.0,695.0,39.56999969
R27273,1.0,960.0,785.0,18.22999954
R27269,2.0,960.0,785.0,18.22999954
JRS2Q41,1.0,2300.0,1950.0,15.22000027
JRS1Q20,1.0,2300.0,1950.0,15.22000027
JRS1B34,1.0,2300.0,1950.0,15.22000027
SAVAXIS06,2.0,500.0,375.0,25.0
SAV19579,1.0,500.0,375.0,25.0
SAV22420,1.0,500.0,425.0,15.0
SAV19234,2.0,500.0,425.0,15.0
SAV22228,1.0,600.0,500.0,16.67000008
SAV22224,1.0,600.0,500.0,16.67000008
JRTV141,2.0,1125.0,895.0,20.44000053
JRTV120,1.0,1080.0,845.0,21.76000023
TH31041SS,2.0,1185.0,845.0,28.69000053
TTT71RL103,1.0,1050.0,845.0,19.52000046
T1T11LL103S,1.0,840.0,675.0,19.63999939
TS3203100,1.0,840.0,675.0,19.63999939
Rimfire Rifles,,,,
21001102,1.0,830.0,725.0,12.64999962
H003T,1.0,680.0,480.0,29.40999985
RUG1121,1.0,775.0,600.0,22.57999992
SAV45200,2.0,450.0,360.0,20.0
SAV40203,,210.0,168.0,20.0
SAV40060,1.0,225.0,180.0,20.0
SAV40001,1.0,230.0,184.0,20.0
SAV45110,2.0,315.0,252.0,20.0
SAV96705,1.0,599.0,479.2,20.0
SAV96712,1.0,445.0,356.0,20.0
SAV96703,2.0,570.0,456.0,20.0
SAV96709,3.0,360.0,288.0,20.0
SAV47001,2.0,635.0,508.0,20.0
SAV96901,2.0,510.0,408.0,20.0
SAV28700,3.0,310.0,265.0,14.52000046
SAV13780,2.0,250.0,220.0,12.0
SAV13795,2.0,250.0,220.0,12.0
SAV13805,2.0,250.0,220.0,12.0
Shotguns,,,,
DEMOM2,1.0,1300.0,875.0,32.68999863
ST20000,1.0,660.0,528.0,20.0
BEN20071,1.0,775.0,620.0,20.0
20051,1.0,595.0,476.0,20.0
BEN20100,1.0,775.0,620.0,20.0
A0389400,2.0,1000.0,800.0,20.0
7H31816215040,1.0,1725.0,1250.0,27.54000092
12271204,1.0,1095.0,930.75,15.00000095
12274204,1.0,1120.0,952.0,15.00000095
11403204,1.0,1595.0,1355.75,15.00000095
FR40841,1.0,1350.0,1147.5,15.00000095
FRA0426200,1.0,1495.0,1270.75,15.00000095
MKA1919KM,1.0,1050.0,892.5,15.00000095
MKA1919,1.0,1050.0,892.5,15.00000095
MOS50460,1.0,675.0,525.0,22.21999931
MOS51672,1.0,820.0,656.0,20.0
R25012,1.0,995.0,796.0,20.0
R81045,1.0,1385.0,1108.0,20.0
512298395,2.0,585.0,468.0,20.0
