Item #,Description,On Hand,Reg.,Disc. %
Restricted Firearms,,,,
1911-22-OD-TB,SIG 1911 22 OD TB,3.0,699.0,42.91999817
Centrefire Rifles,,,,
JRS1Q20,SAKO 85 FINNLIGHT 30-06,1.0,2300.0,15.22000027
Rimfire Rifles,,,,
SAV45200,SAVAGE 64 TR SR SEMI 22LR,2.0,450.0,20.0
SAV96705,SAVAGE 93R17 BVSS 17 HMR,1.0,599.0,20.0
SAV13805,SAVAGE RASCAL YELLOW 22 LR,2.0,250.0,12.0
SAV40001,SAVAGE 64F SEMI 22LR,1.0,230.0,20.0
Centrefire Rifles,,,,
Restricted Firearms,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
T1T11LL103S,TIKKA T3 SYN 223 REM,1.0,840.0,19.63999939
Shotguns,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
34006118,BROWNING BLR 308 WIN,1.0,1195.0,15.00000095
Shotguns,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
Shotguns,,,,
512298395,"WINCHESTER SXP ULT DEF 12-3,18 INV+1",2.0,585.0,20.0
Centrefire Rifles,,,,
Restricted Firearms,,,,
Rimfire Rifles,,,,
SAV40060,SAVAGE 64F LEFT HAND SEMI 22LR,1.0,225.0,20.0
Centrefire Rifles,,,,
NOS39648,NOSLER 48 LIBERTY 28 NOSLER,1.0,2295.0,17.20999908
Restricted Firearms,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
35202216,BROWNING X-BLT SS 7mm-08 REM,1.0,1325.0,15.00000095
Shotguns,,,,
Centrefire Rifles,,,,
TH31041SS,TIKKA T3 HUNTER SS 300 WIN,2.0,1185.0,28.69000053
R27269,REM 700 SPS SS 30-06 SPRG,2.0,960.0,18.22999954
Restricted Firearms,,,,
RUG5027,RUGER RDHWK 45 COLT SS,2.0,1495.0,28.09000015
Shotguns,,,,
Centrefire Rifles,,,,
Shotguns,,,,
20051,"BENELLI NOVA TACT 3.5"" 12GA",1.0,595.0,20.0
FRA0426200,"FRANCHI INTENSITY 12 GA 3.5"" 28""",1.0,1495.0,15.00000095
Centrefire Rifles,,,,
Shotguns,,,,
Rimfire Rifles,,,,
Restricted Firearms,,,,
Shotguns,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Rimfire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
Restricted Firearms,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Centrefire Rifles,,,,
SAV22224,SAVAGE AXIS-II XP 7MM-08 REM,1.0,600.0,16.67000008
Rimfire Rifles,,,,
Centrefire Rifles,,,,
R84078,REM 700 CDL DM 7mm REM MAG,1.0,1150.0,39.56999969
Shotguns,,,,
Centrefire Rifles,,,,
Shotguns,,,,
Restricted Firearms,,,,
Centrefire Rifles,,,,
Rimfire Rifles,,,,
Centrefire Rifles,,,,
NOS39248,NOSLER 48 LIBERTY 30 NOSLER,2.0,2295.0,17.20999908
Rimfire Rifles,,,,
Centrefire Rifles,,,,
SAV22420,SAVAGE AXIS XP 243 WIN,1.0,500.0,15.0
Shotguns,,,,
