Item #,Description,On Hand,Reg.,Special,Disc. %
Restricted Firearms,,,,,
G22GEN4FS,GLOCK 22 GEN 4 FIXED SIGHTS,1.0,1065.0,875.0,17.84000015
Shotguns,,,,,
Rimfire Rifles,,,,,
SAV47001,SAVAGE A17 SEMI 17 HMR,2.0,635.0,508.0,20.0
RUG1121,RUGER 10/22-T 22LR,1.0,775.0,600.0,22.57999992
Shotguns,,,,,
11403204,"BROWNING SILVER MOSGB DT,12-3.5,28 +",1.0,1595.0,1355.75,15.00000095
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
K3000764,KIMBER MTN ASCENT 280 ACKLEY,1.0,2975.0,2400.0,19.32999992
Restricted Firearms,,,,,
Shotguns,,,,,
Centrefire Rifles,,,,,
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
35201246,BROWNING X-BLT STLKR 300 WSM,2.0,1050.0,892.5,15.00000095
JRTV141,TIKKA T3 CAMO STAINLESS 300 WSM,2.0,1125.0,895.0,20.44000053
35202246,BROWNING X-BLT SS 300 WSM,2.0,1375.0,1168.75,15.00000095
Shotguns,,,,,
Centrefire Rifles,,,,,
Shotguns,,,,,
Centrefire Rifles,,,,,
Shotguns,,,,,
Centrefire Rifles,,,,,
Shotguns,,,,,
Centrefire Rifles,,,,,
JRTV120,TIKKA T3 CAMO STAINLESS 30-06 SPRG,1.0,1080.0,845.0,21.76000023
34006118,BROWNING BLR 308 WIN,1.0,1195.0,1015.75,15.00000095
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
35800246,BROWNING A-BLT 3 STLKR 300 WSM,1.0,675.0,573.75,15.00000095
Shotguns,,,,,
Centrefire Rifles,,,,,
35202231,BROWNING X-BLT SS 338 WIN MAG,2.0,1375.0,1168.75,15.00000095
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
35202248,BROWNING X-BLT SS 270 WSM,1.0,1375.0,1168.75,15.00000095
Shotguns,,,,,
Centrefire Rifles,,,,,
Shotguns,,,,,
Centrefire Rifles,,,,,
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
Shotguns,,,,,
Restricted Firearms,,,,,
Shotguns,,,,,
Rimfire Rifles,,,,,
