Subtitle,Item #,Description,On Hand,Reg.,Special,Disc. %
Restricted Firearms,G22GEN4FS,GLOCK 22 GEN 4 FIXED SIGHTS,1.0,1065.0,875.0,17.84000015
Restricted Firearms,51802490,BROWNING 1911-22 A1 22LR,1.0,725.0,525.0,27.59000015
Shotguns,BEN20100,"BENELLI SUPER NOVA 3.5"" 12 GA",1.0,775.0,620.0,20.0
Rimfire Rifles,SAV47001,SAVAGE A17 SEMI 17 HMR,2.0,635.0,508.0,20.0
Rimfire Rifles,RUG1121,RUGER 10/22-T 22LR,1.0,775.0,600.0,22.57999992
Rimfire Rifles,SAV13805,SAVAGE RASCAL YELLOW 22 LR,2.0,250.0,220.0,12.0
Shotguns,11403204,"BROWNING SILVER MOSGB DT,12-3.5,28 +",1.0,1595.0,1355.75,15.00000095
Shotguns,MKA1919KM,MKA 1919 KEY MOD 12GA,1.0,1050.0,892.5,15.00000095
Rimfire Rifles,SAV13795,SAVAGE RASCAL RED 22 LR,2.0,250.0,220.0,12.0
Centrefire Rifles,K3000764,KIMBER MTN ASCENT 280 ACKLEY,1.0,2975.0,2400.0,19.32999992
Centrefire Rifles,R27269,REM 700 SPS SS 30-06 SPRG,2.0,960.0,785.0,18.22999954
Restricted Firearms,BM90831,BUSHMASTER XM15 PATROLMAN 223/5.56,1.0,1500.0,1095.0,27.0
Shotguns,512298395,"WINCHESTER SXP ULT DEF 12-3,18 INV+1",2.0,585.0,468.0,20.0
Centrefire Rifles,JRS1B34,SAKO 85 SS/SYN 338 WIN MAG,1.0,2300.0,1950.0,15.22000027
Rimfire Rifles,H003T,HENRY PUMP 22LR OCT,1.0,680.0,480.0,29.40999985
Centrefire Rifles,35201246,BROWNING X-BLT STLKR 300 WSM,2.0,1050.0,892.5,15.00000095
Centrefire Rifles,JRTV141,TIKKA T3 CAMO STAINLESS 300 WSM,2.0,1125.0,895.0,20.44000053
Centrefire Rifles,35202246,BROWNING X-BLT SS 300 WSM,2.0,1375.0,1168.75,15.00000095
Centrefire Rifles,R27107,REM 700 CDL LH 30-06,1.0,1150.0,695.0,39.56999969
Shotguns,R25012,REM 870 MARINE MAG 12GA,1.0,995.0,796.0,20.0
Centrefire Rifles,TS3203100,TIKKA T3 SYN 300 WIN MAG,1.0,840.0,675.0,19.63999939
Shotguns,7H31816215040,"BERETTA A350 XTREMA SYN 12 GA 28""",1.0,1725.0,1250.0,27.54000092
Centrefire Rifles,T1T11LL103S,TIKKA T3 SYN 223 REM,1.0,840.0,675.0,19.63999939
Shotguns,20051,"BENELLI NOVA TACT 3.5"" 12GA",1.0,595.0,476.0,20.0
Centrefire Rifles,SAV22420,SAVAGE AXIS XP 243 WIN,1.0,500.0,425.0,15.0
Shotguns,DEMOM2,"BENELLI M2 TAC 18"" 12GA",1.0,1300.0,875.0,32.68999863
Centrefire Rifles,JRTV120,TIKKA T3 CAMO STAINLESS 30-06 SPRG,1.0,1080.0,845.0,21.76000023
Centrefire Rifles,34006118,BROWNING BLR 308 WIN,1.0,1195.0,1015.75,15.00000095
Centrefire Rifles,R84078,REM 700 CDL DM 7mm REM MAG,1.0,1150.0,695.0,39.56999969
Restricted Firearms,JS92F510,BERETTA 92FS INOX 9MM,1.0,1190.0,995.0,16.38999939
Centrefire Rifles,35800246,BROWNING A-BLT 3 STLKR 300 WSM,1.0,675.0,573.75,15.00000095
Centrefire Rifles,TS3202900,TIKKA T3 SYN 30-06,1.0,840.0,675.0,19.63999939
Shotguns,R81045,"REM VERSAMAX SPRTSMN 12GA 28""",1.0,1385.0,1108.0,20.0
Centrefire Rifles,35202231,BROWNING X-BLT SS 338 WIN MAG,2.0,1375.0,1168.75,15.00000095
Centrefire Rifles,SAV19234,SAVAGE AXIS XP 30-06 SPRG,2.0,500.0,425.0,15.0
Rimfire Rifles,SAV45200,SAVAGE 64 TR SR SEMI 22LR,2.0,450.0,360.0,20.0
Centrefire Rifles,35202248,BROWNING X-BLT SS 270 WSM,1.0,1375.0,1168.75,15.00000095
Centrefire Rifles,R27273,REM 700 SPS SS 300 WIN,1.0,960.0,785.0,18.22999954
Shotguns,BEN20071,"BENELLI NOVA MAX-5 12 GA 3.5"" 28""",1.0,775.0,620.0,20.0
Centrefire Rifles,35299226,BROWNING X-BLT ECLP HUNT 30/06 SPRG,1.0,1175.0,998.75,15.00000095
Shotguns,512299395,"WINCHESTER SXP ULT MAR DEF,12-3,18 INV+1",2.0,630.0,504.0,20.0
Centrefire Rifles,NOS32948,NOSLER 48 LIBERTY 26 NOSLER,1.0,2295.0,1900.0,17.20999908
Restricted Firearms,51498490,BROWNING BM CAMPER UFX 22 LR,1.0,475.0,395.0,16.84000015
Centrefire Rifles,SAVAXIS06,SAVAGE AXIS SS 30-06,2.0,500.0,375.0,25.0
Shotguns,A0389400,"BENELLI SUPER NOVA TAC 3.5"" 12GA 14""",2.0,1000.0,800.0,20.0
Restricted Firearms,G21GEN4FS,GLOCK 21 GEN 4 FIXED SIGHTS,1.0,1175.0,950.0,19.14999962
Shotguns,MOS51672,MOSSBERG 590 TACT 12G ADJ STK,1.0,820.0,656.0,20.0
Rimfire Rifles,SAV40060,SAVAGE 64F LEFT HAND SEMI 22LR,1.0,225.0,180.0,20.0
