Column2,Per Year,Bi-Weekly,Per Week
Income:,,,
Job,46990.0,1807.307692,903.6538462000001
Investments,2000.0,83.33333333,38.46153846
Allowances,2000.0,83.33333333,38.46153846
Taxes:,,,
Federal,11876.97,494.87375,228.40326919999998
Expenses:,,,
Housing,10800.0,450.0,207.6923077
Utilities,2000.0,83.33333333,38.46153846
Food,4000.0,166.66666669999998,76.92307692
Clothing,2000.0,83.33333333,38.46153846
Car Payments,2200.0,91.66666667,42.30769231
Car Insurance,1700.0,70.83333333,32.69230769
Transportation,700.0,29.16666667,13.46153846
