Subtitle,Column2,Per Year,Bi-Weekly,Per Week
Income:,Job,46990.0,1807.307692,903.6538462000001
Income:,Investments,2000.0,83.33333333,38.46153846
Income:,Allowances,2000.0,83.33333333,38.46153846
Income:,Game Show Winnings,649.0,27.04166667,12.48076923
Taxes:,Federal,11876.97,494.87375,228.40326919999998
Taxes:,State,4647.51,193.64625,89.37519231
Expenses:,Housing,10800.0,450.0,207.6923077
Expenses:,Utilities,2000.0,83.33333333,38.46153846
Expenses:,Food,4000.0,166.66666669999998,76.92307692
Expenses:,Clothing,2000.0,83.33333333,38.46153846
Expenses:,Car Payments,2200.0,91.66666667,42.30769231
Expenses:,Car Insurance,1700.0,70.83333333,32.69230769
Expenses:,Transportation,700.0,29.16666667,13.46153846
Expenses:,Travel,500.0,20.83333333,9.615384615
