Subtitle,Column2,Per Month ,Bi-Weekly,Per Week
Income:,Investments,166.66666669999998,83.33333333,38.46153846
Expenses:,Food,333.3333333,166.66666669999998,76.92307692
Expenses:,Car Payments,183.33333330000002,91.66666667,42.30769231
Expenses:,Utilities,166.66666669999998,83.33333333,38.46153846
Expenses:,Car Insurance,141.66666669999998,70.83333333,32.69230769
Expenses:,Travel,41.66666667,20.83333333,9.615384615
Expenses:,Housing,900.0,450.0,207.6923077
Taxes:,State,387.2925,193.64625,89.37519231
Income:,Game Show Winnings,54.08333333,27.04166667,12.48076923
Income:,Allowances,166.66666669999998,83.33333333,38.46153846
