Subtitle, ,Essentials
I) User Interface,Web-based Interface,0.0
I) User Interface,"Multilingual, Arabic, English & French Support",0.0
I) User Interface,User Customizable Localisation,0.0
I) User Interface,Basic Dashboards,0.0
I) User Interface,User-defined Dashboards,
II) Functional Features,Multiple Companies Support,
II) Functional Features,Multiple Branches Support,0.0
II) Functional Features,Multiple Currencies Support,
III) Reporting,Grouping Data,0.0
III) Reporting,Filtering Data,0.0
III) Reporting,Pivoting,
III) Reporting,Data Visualization (User-defined Charts),0.0
III) Reporting,Show/Hide Columns,0.0
III) Reporting,Aggregate Functions,0.0
III) Reporting,Save Reports Layouts,
III) Reporting,Report Printing,0.0
III) Reporting,Export to Excel,0.0
III) Reporting,Export to CSV,0.0
III) Reporting,Export to PDF,0.0
IV) Notifications,Email,0.0
IV) Notifications,System News bar,0.0
IV) Notifications,SMS,
IV) Notifications,Mobile Push Notifications,
V) Workflow,Transaction-based Single Level Approval,0.0
V) Workflow,User-defined Approval Cycle,
V) Workflow,User-defined Approval Notifications,
VI) Administration & User Privileges,Unlimited User-defined Roles,0.0
VI) Administration & User Privileges,User-defined Roles-Forms Privileges,0.0
VI) Administration & User Privileges,User-defined Roles-Reports Privileges,0.0
VI) Administration & User Privileges,User-defined Roles-Page Controls Privileges,0.0
VI) Administration & User Privileges,User-defined Roles-Transaction Types Privileges,0.0
VI) Administration & User Privileges,User-defined Roles-Widgets Privileges,0.0
VI) Administration & User Privileges,Linking single User to Multiple Roles,0.0
VI) Administration & User Privileges,VII) Mobile Application,
VI) Administration & User Privileges,Android Support,
VI) Administration & User Privileges,iOS Support,
VI) Administration & User Privileges,Dashboard,
VI) Administration & User Privileges,Leads & Activities Recording,
VI) Administration & User Privileges,Expenses Recording,
