Subtitle, ,Essentials,Enterprise
VI) Administration & User Privileges,iOS Support,,0.0
III) Reporting,Export to Excel,0.0,0.0
V) Workflow,Transaction-based Single Level Approval,0.0,0.0
II) Functional Features,Multiple Companies Support,,0.0
I) User Interface,Web-based Interface,0.0,0.0
VI) Administration & User Privileges,User-defined Roles-Page Controls Privileges,0.0,0.0
VI) Administration & User Privileges,User-defined Roles-Widgets Privileges,0.0,0.0
IV) Notifications,System News bar,0.0,0.0
III) Reporting,Save Reports Layouts,,0.0
I) User Interface,User-defined Dashboards,,0.0
IV) Notifications,Email,0.0,0.0
III) Reporting,Grouping Data,0.0,0.0
III) Reporting,Pivoting,,0.0
VI) Administration & User Privileges,VII) Mobile Application,,0.0
VI) Administration & User Privileges,User-defined Roles-Forms Privileges,0.0,0.0
VI) Administration & User Privileges,Unlimited User-defined Roles,0.0,0.0
III) Reporting,Filtering Data,0.0,0.0
VI) Administration & User Privileges,Linking single User to Multiple Roles,0.0,0.0
VI) Administration & User Privileges,User-defined Roles-Transaction Types Privileges,0.0,0.0
IV) Notifications,SMS,,0.0
V) Workflow,User-defined Approval Cycle,,0.0
III) Reporting,Export to CSV,0.0,0.0
VI) Administration & User Privileges,Android Support,,0.0
III) Reporting,Data Visualization (User-defined Charts),0.0,0.0
III) Reporting,Aggregate Functions,0.0,0.0
III) Reporting,Report Printing,0.0,0.0
