 ,Essentials,Enterprise
I) User Interface,,
IV) Notifications,,
III) Reporting,,
VI) Administration & User Privileges,,
III) Reporting,,
VI) Administration & User Privileges,,
V) Workflow,,
VI) Administration & User Privileges,,
Unlimited User-defined Roles,0.0,0.0
II) Functional Features,,
V) Workflow,,
III) Reporting,,
I) User Interface,,
III) Reporting,,
VI) Administration & User Privileges,,
User-defined Roles-Reports Privileges,0.0,0.0
Expenses Recording,,0.0
III) Reporting,,
Export to CSV,0.0,0.0
II) Functional Features,,
IV) Notifications,,
