Account Name,Contract Start Date,Membership Category,Website
Suppliers and Manufacturers,,,
Manjeet Oil Products,42339.0,12,
Dong Guan Texwinca Textile& Garment  Ltd,42552.0,4,
BSB Spinning Mills Ltd,42491.0,7,
Prasuna Vamsikrishna Spinning Mills Pvt Ltd,42795.0,7,
Eurotessile Spa,41974.0,4,
Sustainable Textile and Agriculture Commodities (STAC) Pvt. Ltd.,41974.0,12,
T C Terrytex Ltd,42736.0,5,www.tctl.in
DCM Textiles,42430.0,7,
Lucky Knits (Pvt.) Ltd,42430.0,9,
Thiagarajar Mills Pvt. Ltd.,41821.0,7,
Syed Spinning & Cotton Mills Ltd.,42461.0,7,
Wuxi Shilead Dyeing Co. Ltd.,41640.0,7,
Amber Cotton Mills Ltd,42339.0,7,
Minateks,41609.0,7,
Zhejiang Longyuan Textile Corporation Ltd.,42491.0,7,
Agrograin Ltd Sucursal Uruguay,42552.0,12,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Innovative Textiles Ltd,42552.0,4,
Orimpex Tekstil,42036.0,9,
Wearit Global Ltd,42309.0,7,
"Linqing Sanhe Textiles Group Co., Ltd.",42278.0,9,
Ensar Tekstil San. ve Tic. A.S.,41640.0,4,
Matrix Sourcing,41030.0,9,
Bezsan Tekstil San. Ve Tic. A.S,42795.0,4,www.bezsan.com
Huangchuan Rongfeng Textile Industrial Co.Ltd,41944.0,4,
Olimpias Group srl,42614.0,6,www.olimpias.com
Producer Organisation,,,
Suppliers and Manufacturers,,,
RSB Cottex Ltd.,42217.0,7,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Zorluteks Tekstil,40756.0,9,
Yunus Textile Mills Ltd.,41821.0,7,
Tongzhou International Cotton Limited,42156.0,12,
Suam Overseas Pvt Ltd,42491.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Nafeesa Textiles Ltd.,42036.0,7,
Gadoon Textile Mills Ltd.,42036.0,7,
Gaotang Hongtai Textile Limited Company,42430.0,7,
