Subtitle,Account Name,Contract Start Date,Membership Category,Website
Suppliers and Manufacturers,Manjeet Oil Products,42339.0,12,
Suppliers and Manufacturers,Dong Guan Texwinca Textile& Garment  Ltd,42552.0,4,
Suppliers and Manufacturers,BSB Spinning Mills Ltd,42491.0,7,
Suppliers and Manufacturers,Prasuna Vamsikrishna Spinning Mills Pvt Ltd,42795.0,7,
Suppliers and Manufacturers,Eurotessile Spa,41974.0,4,
Suppliers and Manufacturers,Sustainable Textile and Agriculture Commodities (STAC) Pvt. Ltd.,41974.0,12,
Suppliers and Manufacturers,T C Terrytex Ltd,42736.0,5,www.tctl.in
Suppliers and Manufacturers,DCM Textiles,42430.0,7,
Suppliers and Manufacturers,Lucky Knits (Pvt.) Ltd,42430.0,9,
Suppliers and Manufacturers,Thiagarajar Mills Pvt. Ltd.,41821.0,7,
Suppliers and Manufacturers,Syed Spinning & Cotton Mills Ltd.,42461.0,7,
Suppliers and Manufacturers,Wuxi Shilead Dyeing Co. Ltd.,41640.0,7,
Suppliers and Manufacturers,Amber Cotton Mills Ltd,42339.0,7,
Suppliers and Manufacturers,Minateks,41609.0,7,
Suppliers and Manufacturers,Zhejiang Longyuan Textile Corporation Ltd.,42491.0,7,
Suppliers and Manufacturers,Agrograin Ltd Sucursal Uruguay,42552.0,12,
Suppliers and Manufacturers,Espintex S.A. de C.V.,42339.0,7,
Retailers and Brands,Woolworths Holdings Limited,41821.0,3,www.woolworthsholdings.co.za
Suppliers and Manufacturers,Innovative Textiles Ltd,42552.0,4,
Suppliers and Manufacturers,Orimpex Tekstil,42036.0,9,
Suppliers and Manufacturers,Wearit Global Ltd,42309.0,7,
Suppliers and Manufacturers,"Linqing Sanhe Textiles Group Co., Ltd.",42278.0,9,
Suppliers and Manufacturers,Ensar Tekstil San. ve Tic. A.S.,41640.0,4,
Suppliers and Manufacturers,Matrix Sourcing,41030.0,9,
Suppliers and Manufacturers,Bezsan Tekstil San. Ve Tic. A.S,42795.0,4,www.bezsan.com
Suppliers and Manufacturers,Huangchuan Rongfeng Textile Industrial Co.Ltd,41944.0,4,
Suppliers and Manufacturers,Olimpias Group srl,42614.0,6,www.olimpias.com
Suppliers and Manufacturers,Eastern Spinning Mills Ltd,42735.0,7,www.easterngroup-pk.com
Producer Organisation,Sarob Non-Commercial Cooperative,41609.0,2,www.sarob.net
Suppliers and Manufacturers,RSB Cottex Ltd.,42217.0,7,
Suppliers and Manufacturers,Menderes,41000.0,7,
Producer Organisation,Sooraj Development Organization,41821.0,2,
Suppliers and Manufacturers,Best Corporation Pvt. Ltd.,41030.0,5,
Retailers and Brands,Federation of Migros Cooperatives,40179.0,3,www.migros.ch
Suppliers and Manufacturers,Zorluteks Tekstil,40756.0,9,
Suppliers and Manufacturers,Yunus Textile Mills Ltd.,41821.0,7,
Suppliers and Manufacturers,Tongzhou International Cotton Limited,42156.0,12,
Suppliers and Manufacturers,Suam Overseas Pvt Ltd,42491.0,7,
Suppliers and Manufacturers,CFT Pietro Masserini Spa,42736.0,7,www.cftmasserini.com
Retailers and Brands,MQ Retail AB,40544.0,3,www.mq.se
Suppliers and Manufacturers,Nafeesa Textiles Ltd.,42036.0,7,
Suppliers and Manufacturers,Gadoon Textile Mills Ltd.,42036.0,7,
Suppliers and Manufacturers,Gaotang Hongtai Textile Limited Company,42430.0,7,
Suppliers and Manufacturers,"Kuk Il Spinning Co., Ltd",42705.0,7,
Suppliers and Manufacturers,Hussain Mills,40756.0,4,
Suppliers and Manufacturers,Rajvir Industries Ltd.,40360.0,7,
Suppliers and Manufacturers,Zhangjiagang City Haoran Textile Co. Ltd.,41821.0,7,
Retailers and Brands,RNB,41518.0,3,www.rnb.se
Suppliers and Manufacturers,Aarti International Ltd.,41671.0,7,
Suppliers and Manufacturers,Narendra Cotton Ginning & Pressing Co. Pvt. Ltd.,41883.0,5,
Retailers and Brands,Lindex AB,40179.0,3,www.lindex.com
Suppliers and Manufacturers,FM Denim Co Ltd,42217.0,4,
Suppliers and Manufacturers,Bros Eastern,40756.0,7,
Civil Society,Action For Food Production (AFPRO),40360.0,1,www.afpro.org
Suppliers and Manufacturers,Zhong Xiang Waisun Textiles Company Limited,42186.0,7,
Suppliers and Manufacturers,Prabhu Spinning Mills Pvt. Ltd.,42036.0,7,
Suppliers and Manufacturers,"Gildan Yarns, LLC",42278.0,7,
Suppliers and Manufacturers,IR Accessories Pvt Ltd,42156.0,5,
Retailers and Brands,Beddinghouse BV,42430.0,3,www.beddinghouse.com
Suppliers and Manufacturers,"Dong- Il Vietnam Co., Ltd",42644.0,7,www.dong-il.com
Suppliers and Manufacturers,Plexus,41122.0,12,
Suppliers and Manufacturers,Sudiva Spinners Pvt. Ltd.,41579.0,7,
Suppliers and Manufacturers,Chenniappa Yarn Spinners Pvt Ltd,42736.0,7,www.chenniappa.com
Suppliers and Manufacturers,Shree Siddhivinayak Cotspin Pvt Ltd,42705.0,7,www.sscotspin.com
Suppliers and Manufacturers,"Sociedade Algodoeira do Niassa JFS, SARL",41091.0,11,
Suppliers and Manufacturers,"Yancheng Xue Er Textile co., Ltd",42491.0,7,
Suppliers and Manufacturers,Becri - Malhas e Confeccoes S. A.,42217.0,9,
Suppliers and Manufacturers,Shreedhar Cotsyn Private Ltd.,41821.0,12,
Suppliers and Manufacturers,Malwa Industries Ltd.,40787.0,4,
Suppliers and Manufacturers,Anandi Entreprises,40513.0,12,
Suppliers and Manufacturers,Tonrose Ltd,42614.0,9,www.tonrose.co.uk
Suppliers and Manufacturers,Marteks Maras Tekstil Sanayi A.S.,42767.0,7,www.marteksmaras.com
Suppliers and Manufacturers,Rajapalayam Mills Limited,41913.0,7,
