 ,Essentials
III) Reporting,
Show/Hide Columns,0.0
I) User Interface,
III) Reporting,
VI) Administration & User Privileges,
V) Workflow,
I) User Interface,
III) Reporting,
I) User Interface,
IV) Notifications,
Email,0.0
VI) Administration & User Privileges,
Linking single User to Multiple Roles,0.0
V) Workflow,
VI) Administration & User Privileges,
III) Reporting,
Report Printing,0.0
Export to PDF,0.0
IV) Notifications,
VI) Administration & User Privileges,
User-defined Roles-Transaction Types Privileges,0.0
Dashboard,
Leads & Activities Recording,
