Subtitle,Demographics,Total Number of Deaths ,Crude Death Rate ,Age-adjusted Death Rate
Age,Less than 5,437.0,142.5,0.0
Age,5 to 17,157.0,20.6,0.0
Age,18 to 25,487.0,77.2,0.0
Age,26 to 64,10358.0,327.9,0.0
Age,65 and older,38698.0,4711.3,0.0
Sex,Female,25437.0,879.2,614.4
Sex,Male,24700.0,865.2,826.7
Race/Ethnicity,White,45929.0,916.2,696.6
Race/Ethnicity,Black/African American,2377.0,586.3,960.3
Race/Ethnicity,American Indian,400.0,653.6,1028.5
Race/Ethnicity,Asian,304.0,199.2,416.9
Race/Ethnicity,Hispanic,711.0,161.3,467.3
Race/Ethnicity,"Other, Uknown, Missing",416.0,0.0,0.0
