Qty,Unit Price,Total Price
Jackson Center,,
Belle Haven,,
Valerie,,
Rosa Parks PK,,
Jackson Center,,
Thurgood Marshall,,
Rosa Parks PK,,
Valerie,,
Louise Troy PK-8,,
Kemp PK-8,,
Belle Haven,,
Wright Brothers,,
Valerie,,
David H. Ponitz CTC,,
Valerie,,
Dunbar High School,,
Eastmont PK-8,,
Welcome Stadium,,
Edwin Joel Brown,,
Rosa Parks PK,,
Gardendale,,
Thurgood Marshall,,
Ludlow I NOC,,
Thurgood Marshall,,
World of Wonder,,
Edwin Joel Brown,,
Horace Mann PK-8,,
Cleveland,,
Ludlow I,,
Longfellow Academy,,
Ruskin PK-8,,
Ludlow I,,
River's Edge,,
Wogaman,,
Ruskin PK-8,,
Cleveland,,
Gardendale,,
Kiser,,
Dayton Boys Prep Academy,,
Wright Brothers,,
Thurgood Marshall,,
Kiser,,
Westwood,,
Dunbar High School,,
Welcome Stadium,,
David H. Ponitz CTC,,
Kemp PK-8,,
Welcome Stadium,,
Service Building,,
Cleveland,,
Kemp PK-8,,
Meadowdale PK-8,,
David H. Ponitz CTC,,
Ludlow I,,
Ludlow I NOC,,
Stivers School for the Arts,,
Dunbar High School,,
Service Building,,
Stivers School for the Arts,,
Jackson Center,,
Meadowdale HS,,
Fairview ,,
Transportation,,
Meadowdale PK-8,,
Horace Mann PK-8,,
Ludlow I NOC,,
Longfellow Academy,,
Belle Haven,,
Horace Mann PK-8,,
World of Wonder,,
River's Edge,,
Cleveland,,
Gardendale,,
Edwin Joel Brown,,
Eastmont PK-8,,
Edwin Joel Brown,,
Stivers School for the Arts,,
Edison PK-8,,
Ludlow I NOC,,
Cleveland,,
Horace Mann PK-8,,
Cleveland,,
Thurgood Marshall,,
Edwin Joel Brown,,
Service Building,,
Edwin Joel Brown,,
Charity Adams,,
2.0,,
Longfellow Academy,,
Valerie,,
Dunbar High School,,
Service Building,,
Edwin Joel Brown,,
Louise Troy PK-8,,
Ruskin PK-8,,
Welcome Stadium,,
Stivers School for the Arts,,
Meadowdale PK-8,,
Dunbar High School,,
Edison PK-8,,
Valerie,,
Kiser,,
Kemp PK-8,,
Ludlow I NOC,,
Wright Brothers,,
Ludlow I NOC,,
Edison PK-8,,
Transportation,,
Longfellow Academy,,
,1.0,
Ludlow I,,
Welcome Stadium,,
Ludlow I,,
Gardendale,,
Service Building,,
Rosa Parks PK,,
Belle Haven,,
Kiser,,
Jackson Center,,
River's Edge,,
Gardendale,,
Longfellow Academy,,
Horace Mann PK-8,,
Longfellow Academy,,
Wogaman,,
Jackson Center,,
Horace Mann PK-8,,
Kiser,,
Cleveland,,
Thurgood Marshall,,
Transportation,,
Dunbar High School,,
Gardendale,,
1.0,,
Stivers School for the Arts,,
Fairview ,,
Wogaman,,
Louise Troy PK-8,,
Transportation,,
Horace Mann PK-8,,
Transportation,,
Jackson Center,,
Dayton Boys Prep Academy,,
River's Edge,,
Ludlow I,,
Westwood,,
Service Building,,
Belle Haven,,
Kiser,,
Ruskin PK-8,,
Meadowdale HS,,
Westwood,,
Welcome Stadium,,
Kemp PK-8,,
David H. Ponitz CTC,,
Westwood,,
Kemp PK-8,,
Belle Haven,,
David H. Ponitz CTC,,
World of Wonder,,
Jackson Center,,
Edison PK-8,,
Fairview ,,
Stivers School for the Arts,,
Edwin Joel Brown,,
Rosa Parks PK,,
Wogaman,,
Eastmont PK-8,,
Transportation,,
Charity Adams,,
Ruskin PK-8,,
Westwood,,
Wogaman,,
Louise Troy PK-8,,
Edwin Joel Brown,,
Ludlow I,,
Belle Haven,,
David H. Ponitz CTC,,
Ludlow I NOC,,
Wright Brothers,,
Thurgood Marshall,,
Dayton Boys Prep Academy,,
Westwood,,
Meadowdale PK-8,,
Wogaman,,
Louise Troy PK-8,,
Wright Brothers,,
Wogaman,,
Dunbar High School,,
Welcome Stadium,,
Louise Troy PK-8,,
Rosa Parks PK,,
Kemp PK-8,,
Service Building,,
Ruskin PK-8,,
Belle Haven,,
Meadowdale HS,,
Kiser,,
Westwood,,
Valerie,,
