Subtitle,Qty,Unit Price,Total Price
Jackson Center,1.0,,
Belle Haven,1.0,,
Valerie,1.0,,
Rosa Parks PK,,0.0,
Jackson Center,10.0,,
Thurgood Marshall,,0.0,
Rosa Parks PK,3.0,,
Valerie,1.0,,
Louise Troy PK-8,12.0,,0.0
Kemp PK-8,,,
Belle Haven,2.0,,
Wright Brothers,13.0,,
Valerie,2.0,,
David H. Ponitz CTC,8.0,,0.0
Valerie,,1.0,
Dunbar High School,,0.0,
Eastmont PK-8,,2.0,
Welcome Stadium,1.0,,
Edwin Joel Brown,14.0,,0.0
Rosa Parks PK,1.0,,
Gardendale,,1.0,
Thurgood Marshall,1.0,,
Ludlow I NOC,18.0,,0.0
Thurgood Marshall,1.0,,
World of Wonder,12.0,,
Edwin Joel Brown,,,
Horace Mann PK-8,,,
Cleveland,2.0,,
Ludlow I,2.0,,
Longfellow Academy,1.0,,
Ruskin PK-8,2.0,,
Ludlow I,15.0,,
River's Edge,5.0,,0.0
Wogaman,,0.0,
Ruskin PK-8,12.0,,0.0
Cleveland,1.0,,
Gardendale,1.0,,
Kiser,1.0,,
Dayton Boys Prep Academy,3.0,,
Wright Brothers,,,
Thurgood Marshall,2.0,,
Kiser,1.0,,
Westwood,2.0,,
Dunbar High School,6.0,,0.0
Welcome Stadium,1.0,,
David H. Ponitz CTC,1.0,,
Kemp PK-8,1.0,,
Welcome Stadium,6.0,,
Service Building,1.0,,
Cleveland,1.0,,
Kemp PK-8,2.0,,
Meadowdale PK-8,3.0,,
David H. Ponitz CTC,1.0,,
Ludlow I,1.0,,
Ludlow I NOC,,,0.0
Stivers School for the Arts,16.0,,0.0
Dunbar High School,2.0,,
Service Building,1.0,,
Stivers School for the Arts,1.0,,
Jackson Center,1.0,,
Meadowdale HS,3.0,,
Fairview ,15.0,,
Transportation,1.0,,
Meadowdale PK-8,,2.0,
Horace Mann PK-8,1.0,,
Ludlow I NOC,1.0,,0.0
Longfellow Academy,2.0,,
Belle Haven,,,
Horace Mann PK-8,4.0,,0.0
World of Wonder,3.0,,
River's Edge,4.0,,0.0
Cleveland,1.0,,
Gardendale,2.0,,
Edwin Joel Brown,,,
Eastmont PK-8,3.0,,
Edwin Joel Brown,1.0,,
Stivers School for the Arts,,0.0,
Edison PK-8,,,
Ludlow I NOC,6.0,,0.0
Cleveland,14.0,,
Horace Mann PK-8,,0.0,
Cleveland,14.0,,
Thurgood Marshall,6.0,,0.0
Edwin Joel Brown,1.0,,
Service Building,2.0,,
Edwin Joel Brown,14.0,,0.0
Charity Adams,2.0,,
Charity Adams,,2.0,
Longfellow Academy,1.0,,
Valerie,2.0,,
Dunbar High School,1.0,,
Service Building,,1.0,
Edwin Joel Brown,2.0,,
Louise Troy PK-8,1.0,,
Ruskin PK-8,1.0,,
Welcome Stadium,6.0,,
Stivers School for the Arts,2.0,,
Meadowdale PK-8,,,
Dunbar High School,1.0,,
Edison PK-8,3.0,,
Valerie,2.0,,
Kiser,15.0,,
Kemp PK-8,12.0,,0.0
Ludlow I NOC,16.0,,0.0
Wright Brothers,3.0,,
Ludlow I NOC,3.0,,0.0
Edison PK-8,,2.0,
Transportation,,,
Longfellow Academy,,1.0,
Longfellow Academy,1.0,,
Ludlow I,1.0,,
Welcome Stadium,,1.0,
Ludlow I,,,
Gardendale,1.0,,
Service Building,6.0,,
Rosa Parks PK,14.0,,0.0
Belle Haven,,0.0,
Kiser,,0.0,
Jackson Center,1.0,,
River's Edge,18.0,,0.0
Gardendale,1.0,,
Longfellow Academy,14.0,,
Horace Mann PK-8,4.0,,0.0
Longfellow Academy,14.0,,
Wogaman,2.0,,
Jackson Center,,1.0,
Horace Mann PK-8,2.0,,
Kiser,1.0,,
Cleveland,,0.0,
Thurgood Marshall,6.0,,0.0
Transportation,1.0,,
Dunbar High School,6.0,,0.0
Gardendale,1.0,,
Gardendale,2.0,,
Stivers School for the Arts,16.0,,0.0
Fairview ,3.0,,
Wogaman,14.0,,
Louise Troy PK-8,2.0,,
Transportation,,1.0,
Horace Mann PK-8,1.0,,
Transportation,1.0,,
Jackson Center,10.0,,
Dayton Boys Prep Academy,19.0,,
River's Edge,18.0,,0.0
Ludlow I,,1.0,
Westwood,,,
Service Building,6.0,,
Belle Haven,1.0,,
Kiser,15.0,,
Ruskin PK-8,1.0,,
Meadowdale HS,,2.0,
Westwood,,0.0,
Welcome Stadium,1.0,,
Kemp PK-8,12.0,,0.0
David H. Ponitz CTC,,0.0,
Westwood,12.0,,0.0
Kemp PK-8,1.0,,
Belle Haven,1.0,,
David H. Ponitz CTC,8.0,,0.0
World of Wonder,,2.0,
Jackson Center,2.0,,
Edison PK-8,20.0,,
Fairview ,,2.0,
Stivers School for the Arts,1.0,,
Edwin Joel Brown,,0.0,
Rosa Parks PK,1.0,,
Wogaman,1.0,,
Eastmont PK-8,16.0,,
Transportation,1.0,,
Charity Adams,12.0,,
Ruskin PK-8,,0.0,
Westwood,1.0,,
Wogaman,1.0,,
Louise Troy PK-8,12.0,,0.0
Edwin Joel Brown,,,
Ludlow I,1.0,,
Belle Haven,14.0,,
David H. Ponitz CTC,4.0,,
Ludlow I NOC,,1.0,
Wright Brothers,,2.0,
Thurgood Marshall,,,
Dayton Boys Prep Academy,,2.0,
Westwood,1.0,,
Meadowdale PK-8,13.0,,
Wogaman,14.0,,
Louise Troy PK-8,,0.0,
Wright Brothers,13.0,,
Wogaman,1.0,,
Dunbar High School,,,
Welcome Stadium,1.0,,
Louise Troy PK-8,1.0,,
Rosa Parks PK,14.0,,0.0
Kemp PK-8,,0.0,
Service Building,1.0,,
Ruskin PK-8,12.0,,0.0
Belle Haven,14.0,,
Meadowdale HS,5.0,,
Kiser,2.0,,
Westwood,10.0,,0.0
Valerie,1.0,,
