Item ,Unit Price,Total Price
Dunbar High School,,
Edwin Joel Brown,,
Belle Haven,,
Transportation,,
Ludlow I,,
Edwin Joel Brown,,
Gardendale,,
Ruskin PK-8,,
Horace Mann PK-8,,
Ludlow I NOC,,
,,0.0
David H. Ponitz CTC,,
Kiser,,
Fairview ,,
Valerie,,
Dayton Boys Prep Academy,,
Service Building,,
Dunbar High School,,
Thurgood Marshall,,
Jackson Center,,
Cleveland,,
Edwin Joel Brown,,
Kemp PK-8,,
Meadowdale PK-8,,
Meadowdale HS,,
Edwin Joel Brown,,
Stivers School for the Arts,,
Horace Mann PK-8,,
Kemp PK-8,,
Kiser,,
Westwood,,
Service Building,,
Thurgood Marshall,,
Longfellow Academy,,
Cleveland,,
Transportation,,
Rosa Parks PK,,
Fairview ,,
Wogaman,,
Rosa Parks PK,,
Kiser,,
Wogaman,,
Belle Haven,,
Service Building,,
Jackson Center,,
Ludlow I,,
Jackson Center,,
Meadowdale PK-8,,
Wright Brothers,,
Belle Haven,,
Service Building,,
Welcome Stadium,,
Edison PK-8,,
David H. Ponitz CTC,,
Horace Mann PK-8,,
Welcome Stadium,,
River's Edge,,
Ludlow I NOC,,
Kemp PK-8,,
Cleveland,,
Horace Mann PK-8,,
Dunbar High School,,
David H. Ponitz CTC,,
Longfellow Academy,,
Louise Troy PK-8,,
Ludlow I,,
Welcome Stadium,,
2,,
Service Building,,
David H. Ponitz CTC,,
Belle Haven,,
Charity Adams,,
Rosa Parks PK,,
Jackson Center,,
Cleveland,,
Louise Troy PK-8,,
World of Wonder,,
Dayton Boys Prep Academy,,
Service Building,,
Louise Troy PK-8,,
Gardendale,,
3,,
4,,
Longfellow Academy,,
Thurgood Marshall,,
Cleveland,,
Longfellow Academy,,
Kemp PK-8,,
Stivers School for the Arts,,
Wright Brothers,,
Charity Adams,,
Jackson Center,,
Longfellow Academy,,
Ludlow I NOC,,
Louise Troy PK-8,,
Edison PK-8,,
Jackson Center,,
River's Edge,,
Service Building,,
Kiser,,
Dunbar High School,,
Rosa Parks PK,,
Edwin Joel Brown,,
Eastmont PK-8,,
Gardendale,,
Westwood,,
World of Wonder,,
Ludlow I,,
1,,
David H. Ponitz CTC,,
Cleveland,,
Longfellow Academy,,
Wogaman,,
Edwin Joel Brown,,
Thurgood Marshall,,
Horace Mann PK-8,,
Westwood,,
Louise Troy PK-8,,
