Item ,Qty,Unit Price,Total Price
Edwin Joel Brown,,,
Ludlow I,,,
Dunbar High School,,,
David H. Ponitz CTC,,,
Wright Brothers,,,
Louise Troy PK-8,,,
Westwood,,,
Ruskin PK-8,,,
Kemp PK-8,,,
Valerie,,,
Ludlow I,,,
Edwin Joel Brown,,,
Horace Mann PK-8,,,
David H. Ponitz CTC,,,
World of Wonder,,,
Valerie,,,
Meadowdale HS,,,
Kiser,,,
Ruskin PK-8,,,
Cleveland,,,
Jackson Center,,,
Gardendale,,,
Jackson Center,,,
Rosa Parks PK,,,
Wright Brothers,,,
Service Building,,,
Welcome Stadium,,,
Dayton Boys Prep Academy,,,
Ruskin PK-8,,,
Welcome Stadium,,,
Meadowdale HS,,,
Welcome Stadium,,,
Kemp PK-8,,,
Transportation,,,
Belle Haven,,,
Cleveland,,,
David H. Ponitz CTC,,,
Meadowdale HS,,,
Stivers School for the Arts,,,
Charity Adams,,,
River's Edge,,,
Wogaman,,,
World of Wonder,,,
Ludlow I,,,
Dunbar High School,,,
Louise Troy PK-8,,,
Eastmont PK-8,,,
Westwood,,,
Charity Adams,,,
David H. Ponitz CTC,,,
Thurgood Marshall,,,
Belle Haven,,,
Ludlow I NOC,,,
Gardendale,,,
Louise Troy PK-8,,,
River's Edge,,,
Jackson Center,,,
River's Edge,,,
Cleveland,,,
Kiser,,,
Horace Mann PK-8,,,
Gardendale,,,
Westwood,,,
Rosa Parks PK,,,
Stivers School for the Arts,,,
Rosa Parks PK,,,
Welcome Stadium,,,
Rosa Parks PK,,,
Ludlow I,,,
Longfellow Academy,,,
Welcome Stadium,,,
Belle Haven,,,
Kiser,,,
Transportation,,,
Service Building,,,
Transportation,,,
Eastmont PK-8,,,
Stivers School for the Arts,,,
Wogaman,,,
Gardendale,,,
Service Building,,,
Jackson Center,,,
Horace Mann PK-8,,,
Thurgood Marshall,,,
Westwood,,,
Louise Troy PK-8,,,
Longfellow Academy,,,
Dunbar High School,,,
Kemp PK-8,,,
Horace Mann PK-8,,,
Transportation,,,
Valerie,,,
Gardendale,,,
Ludlow I,,,
Thurgood Marshall,,,
Ludlow I NOC,,,
Kiser,,,
Meadowdale PK-8,,,
Thurgood Marshall,,,
Longfellow Academy,,,
Belle Haven,,,
Gardendale,,,
Ludlow I,,,
Cleveland,,,
Meadowdale PK-8,,,
Ruskin PK-8,,,
Edwin Joel Brown,,,
Thurgood Marshall,,,
Edwin Joel Brown,,,
Westwood,,,
Service Building,,,
David H. Ponitz CTC,,,
Gardendale,,,
Ludlow I NOC,,,
Cleveland,,,
Fairview ,,,
Wogaman,,,
Kiser,,,
Belle Haven,,,
Wright Brothers,,,
Ludlow I NOC,,,
Westwood,,,
Longfellow Academy,,,
World of Wonder,,,
Valerie,,,
Edwin Joel Brown,,,
Belle Haven,,,
0,1.0,,
Wogaman,,,
Horace Mann PK-8,,,
5,4.0,,0.0
Wright Brothers,,,
Rosa Parks PK,,,
Welcome Stadium,,,
Jackson Center,,,
Cleveland,,,
Longfellow Academy,,,
Valerie,,,
Thurgood Marshall,,,
Wogaman,,,
Meadowdale PK-8,,,
Dunbar High School,,,
Dayton Boys Prep Academy,,,
Service Building,,,
Ruskin PK-8,,,
Stivers School for the Arts,,,
Ludlow I NOC,,,
6,16.0,,0.0
Dunbar High School,,,
Edwin Joel Brown,,,
Kemp PK-8,,,
Eastmont PK-8,,,
Transportation,,,
Kemp PK-8,,,
Edwin Joel Brown,,,
Dunbar High School,,,
Service Building,,,
Wright Brothers,,,
Kiser,,,
Rosa Parks PK,,,
Edison PK-8,,,
Charity Adams,,,
River's Edge,,,
Edison PK-8,,,
Ruskin PK-8,,,
Service Building,,,
Westwood,,,
Edison PK-8,,,
Dayton Boys Prep Academy,,,
Edwin Joel Brown,,,
Wogaman,,,
Stivers School for the Arts,,,
Wogaman,,,
Meadowdale PK-8,,,
Valerie,,,
Louise Troy PK-8,,,
4,12.0,,0.0
Kemp PK-8,,,
Kiser,,,
Welcome Stadium,,,
Horace Mann PK-8,,,
Edison PK-8,,,
Fairview ,,,
Cleveland,,,
David H. Ponitz CTC,,,
Fairview ,,,
Edwin Joel Brown,,,
Belle Haven,,,
Dunbar High School,,,
Stivers School for the Arts,,,
Longfellow Academy,,,
Jackson Center,,,
Longfellow Academy,,,
Transportation,,,
Jackson Center,,,
Thurgood Marshall,,,
Ludlow I NOC,,,
Kemp PK-8,,,
Valerie,,,
Ludlow I,,,
